"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
2.274147377E0,6.341982080E1,1.040281080E1,3.202596592E1,7.280000305E1,0.000000000E0,0.000000000E0,6.160074695E-2,1.075780029E2,3.916521454E1,0.000000000E0
2.185622314E1,6.342012745E1,1.040384193E1,6.022793139E1,1.010000000E2,5.799999833E-1,0.000000000E0,6.276288956E-2,7.500000000E0,1.000000000E2,1.500000000E1
2.285453960E1,6.342013772E1,1.040384629E1,5.722794858E1,9.800000000E1,5.299999714E-1,6.229999924E1,6.344174615E-2,1.200000000E1,1.000000000E2,2.100000000E1
2.386107441E1,6.342014149E1,1.040385702E1,5.422796963E1,9.500000000E1,6.200000048E-1,6.500000000E1,6.438454859E-2,1.000000000E1,1.000000000E2,2.400000000E1
2.488543525E1,6.342013667E1,1.040387261E1,5.322799005E1,9.400000000E1,6.200000048E-1,5.129999924E1,6.541856468E-2,9.500000000E0,1.000000000E2,2.400000000E1
2.586251933E1,6.342014073E1,1.040389130E1,5.122802426E1,9.200000000E1,0.000000000E0,0.000000000E0,6.541856468E-2,9.500000000E0,1.000000000E2,2.400000000E1
2.689293387E1,6.342014073E1,1.040389130E1,5.122802426E1,9.200000000E1,0.000000000E0,0.000000000E0,6.632933270E-2,9.000000000E0,1.000000000E2,2.400000000E1
2.785944063E1,6.342014702E1,1.040390303E1,5.222804942E1,9.300000000E1,7.299999595E-1,7.230000305E1,6.733515043E-2,8.500000000E0,1.000000000E2,2.400000000E1
2.885482836E1,6.342014455E1,1.040392248E1,5.222807839E1,9.300000000E1,1.199999928E0,8.159999847E1,6.850181277E-2,8.500000000E0,1.000000000E2,2.400000000E1
2.985752559E1,6.342014337E1,1.040394578E1,5.222811486E1,9.300000000E1,1.090000033E0,8.040000153E1,6.934106350E-2,8.000000000E0,1.000000000E2,2.300000000E1
