"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
4.189520400E-2,-1.689749908E1,1.407749939E1,-7.868249512E1,8.169844859E1
5.172420400E-2,-1.700250053E1,1.460249996E1,-7.775999451E1,8.092548903E1
6.209320400E-2,-1.718249893E1,1.397249985E1,-7.883999634E1,8.189147724E1
7.184420400E-2,-1.701000023E1,1.442999935E1,-7.899749756E1,8.208635459E1
8.177320400E-2,-1.626749992E1,1.494749928E1,-7.947000122E1,8.248357644E1
9.194220400E-2,-1.671749878E1,1.454999924E1,-7.914749908E1,8.219187219E1
1.019082040E-1,-1.601249886E1,1.469999981E1,-7.961999512E1,8.253383389E1
1.118232040E-1,-1.602750015E1,1.449749947E1,-7.868999481E1,8.160375932E1
1.218352040E-1,-1.689749908E1,1.359749985E1,-7.940249634E1,8.231144454E1
1.318472040E-1,-1.689749908E1,1.359749985E1,-7.940249634E1,8.231144454E1
1.426422040E-1,-1.640250015E1,1.419749928E1,-7.899749756E1,8.192200936E1
1.519512040E-1,-1.640250015E1,1.419749928E1,-7.899749756E1,8.192200936E1
1.619692040E-1,-1.629749870E1,1.439999962E1,-7.899749756E1,8.193639651E1
1.719522040E-1,-1.629749870E1,1.439999962E1,-7.899749756E1,8.193639651E1
1.818642040E-1,-1.629749870E1,1.460249996E1,-7.880249786E1,8.178432086E1
1.917322040E-1,-1.629749870E1,1.460249996E1,-7.880249786E1,8.178432086E1
2.018542040E-1,-1.650000000E1,1.469999981E1,-7.880249786E1,8.184237084E1
2.117532040E-1,-1.650000000E1,1.469999981E1,-7.880249786E1,8.184237084E1
2.219532040E-1,-1.689749908E1,1.479749966E1,-7.890000153E1,8.203475917E1
2.317522040E-1,-1.689749908E1,1.479749966E1,-7.890000153E1,8.203475917E1
2.417862040E-1,-1.700250053E1,1.490249920E1,-7.890000153E1,8.207545155E1
2.517232040E-1,-1.700250053E1,1.490249920E1,-7.890000153E1,8.207545155E1
2.618812040E-1,-1.710000038E1,1.500000000E1,-7.899749756E1,8.220714466E1
2.718452040E-1,-1.710000038E1,1.500000000E1,-7.899749756E1,8.220714466E1
2.818282040E-1,-1.730249977E1,1.509749985E1,-7.899749756E1,8.226734237E1
2.919652040E-1,-1.730249977E1,1.509749985E1,-7.899749756E1,8.226734237E1
3.020082040E-1,-1.749749947E1,1.529999924E1,-7.910250092E1,8.244669863E1
3.118892040E-1,-1.749749947E1,1.529999924E1,-7.910250092E1,8.244669863E1
3.229642040E-1,-1.760249901E1,1.539750004E1,-7.899749756E1,8.238650132E1
3.317722040E-1,-1.760249901E1,1.539750004E1,-7.899749756E1,8.238650132E1
3.417572040E-1,-1.779749870E1,1.559999943E1,-7.880249786E1,8.227967314E1
