"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.829268700E-2,1.904249954E1,-3.689249802E1,-4.430999756E1,6.072107610E1
4.775768700E-2,1.752000046E1,-3.665999985E1,-4.337999725E1,5.943677453E1
5.794868700E-2,1.682999992E1,-3.671249771E1,-4.400249863E1,5.972667973E1
6.813268700E-2,1.695750046E1,-3.678749847E1,-4.383749771E1,5.968754536E1
7.800168700E-2,1.685249901E1,-3.635250092E1,-4.400249863E1,5.951244350E1
8.785968700E-2,1.641749954E1,-3.656250000E1,-4.400249863E1,5.951949750E1
9.796868700E-2,1.574249935E1,-3.635250092E1,-4.383749771E1,5.908516577E1
1.078926870E-1,1.631999969E1,-3.593999863E1,-4.385250092E1,5.900057396E1
1.179316870E-1,1.539750004E1,-3.669749832E1,-4.259999847E1,5.829707763E1
1.278556870E-1,1.539750004E1,-3.669749832E1,-4.259999847E1,5.829707763E1
1.377946870E-1,1.539750004E1,-3.669749832E1,-4.250249863E1,5.822586865E1
1.480206870E-1,1.539750004E1,-3.669749832E1,-4.250249863E1,5.822586865E1
1.579616870E-1,1.479749966E1,-3.680249786E1,-4.250249863E1,5.813649658E1
1.679936870E-1,1.479749966E1,-3.680249786E1,-4.250249863E1,5.813649658E1
1.778796870E-1,1.479749966E1,-3.680249786E1,-4.239749908E1,5.805977759E1
1.879966870E-1,1.479749966E1,-3.680249786E1,-4.239749908E1,5.805977759E1
1.980956870E-1,1.439999962E1,-3.680249786E1,-4.250249863E1,5.803659387E1
2.081616870E-1,1.439999962E1,-3.680249786E1,-4.250249863E1,5.803659387E1
2.181086870E-1,1.419749928E1,-3.680249786E1,-4.259999847E1,5.805818379E1
2.281306870E-1,1.419749928E1,-3.680249786E1,-4.259999847E1,5.805818379E1
2.379966870E-1,1.379999924E1,-3.680249786E1,-4.280249786E1,5.811125236E1
2.480786870E-1,1.379999924E1,-3.680249786E1,-4.280249786E1,5.811125236E1
2.577776870E-1,1.340250015E1,-3.680249786E1,-4.259999847E1,5.786890987E1
2.680786870E-1,1.340250015E1,-3.680249786E1,-4.259999847E1,5.786890987E1
2.779276870E-1,1.289999962E1,-3.689999771E1,-4.269749832E1,5.788865333E1
2.879376870E-1,1.289999962E1,-3.689999771E1,-4.269749832E1,5.788865333E1
2.980026870E-1,1.250249958E1,-3.699749756E1,-4.280249786E1,5.794118695E1
3.080006870E-1,1.250249958E1,-3.699749756E1,-4.280249786E1,5.794118695E1
3.180286870E-1,1.220249939E1,-3.699749756E1,-4.289999771E1,5.794933667E1
3.279396870E-1,1.220249939E1,-3.699749756E1,-4.289999771E1,5.794933667E1
3.378516870E-1,1.200000000E1,-3.699749756E1,-4.299749756E1,5.797930339E1
3.479126870E-1,1.200000000E1,-3.699749756E1,-4.299749756E1,5.797930339E1
3.578406870E-1,1.169999981E1,-3.699749756E1,-4.320000076E1,5.806845001E1
3.679086870E-1,1.169999981E1,-3.699749756E1,-4.320000076E1,5.806845001E1
3.779916870E-1,1.139999962E1,-3.689999771E1,-4.329750061E1,5.801933627E1
3.882806870E-1,1.139999962E1,-3.689999771E1,-4.329750061E1,5.801933627E1
3.979076870E-1,1.100249958E1,-3.680249786E1,-4.340250015E1,5.795908786E1
4.081626870E-1,1.100249958E1,-3.680249786E1,-4.340250015E1,5.795908786E1
4.179116870E-1,9.479999542E0,-3.627750015E1,-4.403249741E1,5.783414421E1
4.278406870E-1,9.479999542E0,-3.627750015E1,-4.403249741E1,5.783414421E1
4.379796870E-1,7.754999638E0,-3.556499863E1,-4.473749924E1,5.767541057E1
4.478996870E-1,7.754999638E0,-3.556499863E1,-4.473749924E1,5.767541057E1
4.580396870E-1,6.337500095E0,-3.513750076E1,-4.509000015E1,5.751448497E1
4.679816870E-1,6.337500095E0,-3.513750076E1,-4.509000015E1,5.751448497E1
4.778426870E-1,5.849999905E0,-3.450749969E1,-4.555500031E1,5.744778574E1
4.882266870E-1,5.849999905E0,-3.450749969E1,-4.555500031E1,5.744778574E1
4.980256870E-1,5.639999866E0,-3.435749817E1,-4.561499786E1,5.738445181E1
5.079186870E-1,5.639999866E0,-3.435749817E1,-4.561499786E1,5.738445181E1
5.179826870E-1,5.295000076E0,-3.436499786E1,-4.553249741E1,5.729047411E1
5.278576870E-1,5.295000076E0,-3.436499786E1,-4.553249741E1,5.729047411E1
5.378736870E-1,5.167500019E0,-3.456750107E1,-4.550249863E1,5.737675982E1
5.479896870E-1,5.167500019E0,-3.456750107E1,-4.550249863E1,5.737675982E1
5.583386870E-1,5.130000114E0,-3.468750000E1,-4.488750076E1,5.695987432E1
5.681776870E-1,5.130000114E0,-3.468750000E1,-4.488750076E1,5.695987432E1
