"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.930809600E-2,2.099999905E0,-2.690999985E1,-4.016249847E1,4.838992018E1
4.970209600E-2,1.597499967E0,-2.606250000E1,-3.893249893E1,4.687798402E1
5.935009600E-2,2.287499905E0,-2.616749954E1,-4.016999817E1,4.799582733E1
6.929809600E-2,2.549999952E0,-2.634000015E1,-3.954750061E1,4.758469200E1
7.933709600E-2,1.867499948E0,-2.604749870E1,-3.830999756E1,4.636394782E1
9.125909600E-2,1.597499967E0,-2.606250000E1,-3.923999786E1,4.713367527E1
9.933409600E-2,1.049999952E0,-2.600249863E1,-4.001250076E1,4.773083544E1
1.096180960E-1,8.924999833E-1,-2.636999893E1,-4.061999893E1,4.843715220E1
1.193660960E-1,2.025000006E-1,-2.589749908E1,-3.980249786E1,4.748642228E1
1.300380960E-1,2.025000006E-1,-2.589749908E1,-3.980249786E1,4.748642228E1
1.394260960E-1,0.000000000E0,-2.600249863E1,-3.959999847E1,4.737393602E1
1.493960960E-1,0.000000000E0,-2.600249863E1,-3.959999847E1,4.737393602E1
1.593350960E-1,-2.025000006E-1,-2.589749908E1,-3.969749832E1,4.739844763E1
1.694300960E-1,-2.025000006E-1,-2.589749908E1,-3.969749832E1,4.739844763E1
1.793240960E-1,-2.999999821E-1,-2.550000000E1,-3.980249786E1,4.727133208E1
1.893230960E-1,-2.999999821E-1,-2.550000000E1,-3.980249786E1,4.727133208E1
1.993300960E-1,-5.024999976E-1,-2.510249901E1,-4.010250092E1,4.731383035E1
2.094100960E-1,-5.024999976E-1,-2.510249901E1,-4.010250092E1,4.731383035E1
2.193470960E-1,-6.974999905E-1,-2.450249863E1,-4.040250015E1,4.725696736E1
2.293700960E-1,-6.974999905E-1,-2.450249863E1,-4.040250015E1,4.725696736E1
2.393970960E-1,-1.102499962E0,-2.409749985E1,-4.070249939E1,4.731382950E1
2.493170960E-1,-1.102499962E0,-2.409749985E1,-4.070249939E1,4.731382950E1
2.593420960E-1,-1.297500014E0,-2.360249901E1,-4.089749908E1,4.723734642E1
2.693440960E-1,-1.297500014E0,-2.360249901E1,-4.089749908E1,4.723734642E1
2.793960960E-1,-1.500000000E0,-2.330249977E1,-4.109999847E1,4.727014248E1
2.894180960E-1,-1.500000000E0,-2.330249977E1,-4.109999847E1,4.727014248E1
2.993530960E-1,-1.702499986E0,-2.310000038E1,-4.139999771E1,4.743910132E1
