"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.323792458E-2,6.342007766E1,1.040290414E1,4.546945572E1,8.624308818E1,-1.000000000E0,-1.000000000E0,6.636161839E-2,2.130589028E2,2.130589028E2,-1.000000000E0
6.454527378E-1,6.342022128E1,1.040419875E1,4.595288086E1,8.672428047E1,0.000000000E0,-1.000000000E0,7.735486518E-2,1.241210522E1,1.241210522E1,-1.000000000E0
1.790447950E0,6.342015264E1,1.040403974E1,3.864941406E1,7.942113829E1,1.389999986E0,2.313281250E2,7.847463219E-2,5.856629582E0,5.856629582E0,-1.000000000E0
2.790439844E0,6.342014530E1,1.040402432E1,3.935253906E1,8.012429545E1,8.299999833E-1,2.169140625E2,8.094221302E-2,4.892650909E0,4.892650909E0,-1.000000000E0
3.790431380E0,6.342013814E1,1.040397738E1,4.176824951E1,8.254008879E1,1.389999986E0,2.358984375E2,8.305639185E-2,3.680125212E0,3.680125212E0,-1.000000000E0
4.790423512E0,6.342012179E1,1.040395567E1,4.289666748E1,8.366855797E1,1.750000000E0,2.355468750E2,8.397721713E-2,3.535533906E0,3.535533906E0,-1.000000000E0
5.790416360E0,6.342012351E1,1.040393757E1,4.164715576E1,8.241907379E1,1.750000000E0,2.358984375E2,8.593986767E-2,3.535533906E0,3.535533906E0,-1.000000000E0
6.792003393E0,6.342011458E1,1.040390354E1,4.285540771E1,8.362738953E1,1.659999967E0,2.313281250E2,8.692222818E-2,3.535533906E0,3.535533906E0,-1.000000000E0
7.791999102E0,6.342011328E1,1.040388401E1,4.337573242E1,8.414774706E1,1.379999995E0,2.443359375E2,8.841449001E-2,3.535533906E0,3.535533906E0,-1.000000000E0
8.792007565E0,6.342010792E1,1.040385651E1,4.365106201E1,8.442312636E1,1.519999981E0,2.373046875E2,8.990392082E-2,3.535533906E0,3.535533906E0,-1.000000000E0
9.792006135E0,6.342009639E1,1.040384126E1,4.388299561E1,8.465509597E1,1.519999981E0,1.954687500E2,9.118141320E-2,3.535533906E0,3.535533906E0,-1.000000000E0
1.079201996E1,6.342008512E1,1.040384620E1,4.409698486E1,8.486908838E1,1.360000014E0,1.908984375E2,9.254446178E-2,3.535533906E0,3.535533906E0,-1.000000000E0
1.179201841E1,6.342007619E1,1.040386498E1,4.399279785E1,8.476487986E1,1.360000014E0,1.416796875E2,9.421111849E-2,3.535533906E0,3.535533906E0,-1.000000000E0
1.279203188E1,6.342007309E1,1.040389775E1,4.389794922E1,8.466998136E1,1.309999943E0,1.037109375E2,9.551622606E-2,3.535533906E0,3.535533906E0,-1.000000000E0
1.379203558E1,6.342007031E1,1.040392323E1,4.393888876E1,8.471088249E1,1.309999943E0,1.037109603E2,9.777817919E-2,4.654250853E0,4.654250853E0,-1.000000000E0
1.479205322E1,6.342007689E1,1.040396625E1,4.353527094E1,8.430718870E1,1.509999990E0,8.472658942E1,9.994104713E-2,4.654250871E0,4.654250871E0,-1.000000000E0
1.579205441E1,6.342008909E1,1.040400011E1,4.320775629E1,8.397960731E1,1.509999990E0,6.398439930E1,1.020172213E-1,4.654250916E0,4.654250916E0,-1.000000000E0
1.679206657E1,6.342010090E1,1.040403243E1,4.269128444E1,8.346307158E1,1.549999952E0,5.765627345E1,1.043941641E-1,4.654250967E0,4.654250967E0,-1.000000000E0
1.779206789E1,6.342011491E1,1.040406853E1,4.275995286E1,8.353166788E1,1.779999971E0,5.273440037E1,1.065718791E-1,4.654251027E0,4.654251027E0,-1.000000000E0
1.879208267E1,6.342012681E1,1.040410327E1,4.263721879E1,8.340886592E1,1.779999971E0,5.308596298E1,1.086948119E-1,4.654251083E0,4.654251083E0,-1.000000000E0
1.979208362E1,6.342013912E1,1.040413590E1,4.221842607E1,8.299000834E1,1.759999990E0,5.132814961E1,1.105591175E-1,4.654251140E0,4.654251140E0,-1.000000000E0
2.079209745E1,6.342015077E1,1.040416285E1,4.179020722E1,8.256173447E1,1.740000010E0,4.816408571E1,1.126543535E-1,4.654251194E0,4.654251194E0,-1.000000000E0
