"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.299041677E-3,2.415606689E1,-6.268325806E1,-1.198522949E1,6.823746870E1
1.627304126E-2,2.420764160E1,-6.278662109E1,-1.186517334E1,6.832973027E1
2.624704130E-2,2.424285889E1,-6.277572632E1,-1.182104492E1,6.832455726E1
3.622104134E-2,2.473797607E1,-6.246762085E1,-1.165292358E1,6.819062797E1
4.619504139E-2,2.504522705E1,-6.215522766E1,-1.130938721E1,6.795909036E1
5.616904143E-2,2.525201416E1,-6.199664307E1,-1.175042725E1,6.796558328E1
6.614304148E-2,2.542706299E1,-6.199049377E1,-1.198211670E1,6.806561519E1
7.611704152E-2,2.531390381E1,-6.181423950E1,-1.191448975E1,6.785093218E1
8.609104156E-2,2.527752686E1,-6.176187134E1,-1.169168091E1,6.775084883E1
9.606504161E-2,2.537933350E1,-6.177232361E1,-1.224124146E1,6.789534980E1
1.060390417E-1,2.534985352E1,-6.172210693E1,-1.186190796E1,6.777122116E1
1.160130417E-1,2.531909180E1,-6.174899292E1,-1.237030029E1,6.787502387E1
1.259870413E-1,2.516491699E1,-6.174703979E1,-1.195144653E1,6.774073402E1
1.359610413E-1,2.574426270E1,-6.148281860E1,-1.200088501E1,6.772684317E1
1.459350414E-1,2.547094727E1,-6.170364380E1,-1.219296265E1,6.785850832E1
1.559100416E-1,2.551837158E1,-6.169009399E1,-1.235516357E1,6.789333584E1
1.658840417E-1,2.528607178E1,-6.151396179E1,-1.199966431E1,6.758213421E1
1.758580413E-1,2.546459961E1,-6.174237061E1,-1.227893066E1,6.790683544E1
1.858320413E-1,2.541699219E1,-6.164289856E1,-1.250094604E1,6.783910441E1
1.958060414E-1,2.509490967E1,-6.189605713E1,-1.244143677E1,6.793869095E1
2.057800414E-1,2.495263672E1,-6.204801941E1,-1.198568726E1,6.794297234E1
2.157540414E-1,2.476538086E1,-6.206021118E1,-1.235116577E1,6.795105001E1
2.257280415E-1,2.486590576E1,-6.194827271E1,-1.234472656E1,6.788441673E1
2.357020415E-1,2.473913574E1,-6.202438354E1,-1.225738525E1,6.789177038E1
2.456760416E-1,2.418414307E1,-6.198500061E1,-1.223046875E1,6.765055390E1
2.556500416E-1,2.413116455E1,-6.206378174E1,-1.184463501E1,6.763520891E1
2.656240417E-1,2.396002197E1,-6.201521301E1,-1.198837280E1,6.755509145E1
2.755980412E-1,2.364514160E1,-6.211338806E1,-1.181051636E1,6.750299249E1
2.855720413E-1,2.374694824E1,-6.219012451E1,-1.216470337E1,6.767207065E1
2.955460413E-1,2.371270752E1,-6.230194092E1,-1.268344116E1,6.785789578E1
3.055200414E-1,2.336145020E1,-6.234713745E1,-1.210601807E1,6.767184479E1
3.154940414E-1,2.320501709E1,-6.238217163E1,-1.228759766E1,6.768303489E1
3.254680415E-1,2.288397217E1,-6.202381897E1,-1.204763794E1,6.719952293E1
3.354420415E-1,2.271948242E1,-6.231364441E1,-1.219775391E1,6.743849317E1
3.454160416E-1,2.234216309E1,-6.189527893E1,-1.248367310E1,6.697790605E1
3.553900416E-1,2.238592529E1,-6.214355469E1,-1.257821655E1,6.723959081E1
3.653650414E-1,2.183172607E1,-6.167485046E1,-1.230517578E1,6.657198205E1
3.753390415E-1,2.141955566E1,-6.197151184E1,-1.236337280E1,6.672419825E1
3.853130415E-1,2.080706787E1,-6.221516418E1,-1.225946045E1,6.673795845E1
3.952870416E-1,2.054107666E1,-6.206092834E1,-1.274520874E1,6.660281528E1
4.052610416E-1,2.040734863E1,-6.234475708E1,-1.240197754E1,6.676179791E1
4.152350416E-1,1.980645752E1,-6.257460022E1,-1.260391235E1,6.683363643E1
4.252090417E-1,1.947546387E1,-6.269207764E1,-1.263320923E1,6.685198775E1
4.351830413E-1,1.873095703E1,-6.270446777E1,-1.274154663E1,6.667117849E1
4.451570413E-1,1.853784180E1,-6.256219482E1,-1.236325073E1,6.641181949E1
4.551310414E-1,1.817272949E1,-6.208006287E1,-1.245166016E1,6.587280276E1
4.651050414E-1,1.771826172E1,-6.200561523E1,-1.243887329E1,6.567616529E1
4.750790414E-1,1.712384033E1,-6.142941284E1,-1.274835205E1,6.503321574E1
4.850530415E-1,1.676965332E1,-6.067984009E1,-1.336187744E1,6.435684916E1
4.950270415E-1,1.637426758E1,-6.017376709E1,-1.352313232E1,6.381123720E1
5.050010416E-1,1.561755371E1,-5.937718201E1,-1.348101807E1,6.285933165E1
5.149750416E-1,1.512896729E1,-5.860340881E1,-1.323446655E1,6.195479223E1
5.249490417E-1,1.458459473E1,-5.800846863E1,-1.317190552E1,6.124697487E1
5.349230412E-1,1.364605713E1,-5.756109619E1,-1.347366333E1,6.067152770E1
5.448970413E-1,1.299780273E1,-5.715484619E1,-1.333978271E1,6.011296967E1
5.548710413E-1,1.233508301E1,-5.701312256E1,-1.343966675E1,5.986046324E1
