"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
4.646833520E-3,9.762207031E0,-1.529895020E1,-4.803619385E1,5.135011668E1
1.462083356E-2,9.840454102E0,-1.528079224E1,-4.821469116E1,5.152662993E1
2.459483361E-2,9.829772949E0,-1.516567993E1,-4.826266479E1,5.153549357E1
3.456983343E-2,9.369445801E0,-1.485958862E1,-4.798800659E1,5.110227652E1
4.454383347E-2,9.341247559E0,-1.484689331E1,-4.804382324E1,5.114585124E1
5.451783352E-2,9.481262207E0,-1.463565063E1,-4.822903442E1,5.128485511E1
6.449183356E-2,9.254943848E0,-1.484167480E1,-4.762438965E1,5.073471973E1
7.446583360E-2,8.809814453E0,-1.469595337E1,-4.809420776E1,5.105523182E1
8.443983365E-2,8.509460449E0,-1.399816895E1,-4.836288452E1,5.106200398E1
9.441383369E-2,8.353149414E0,-1.407131958E1,-4.882342529E1,5.149275674E1
1.043878337E-1,8.144287109E0,-1.372659302E1,-4.914672852E1,5.167349119E1
1.143618333E-1,7.936157227E0,-1.331103516E1,-4.887850952E1,5.127645602E1
1.243358334E-1,7.873779297E0,-1.333517456E1,-4.879370117E1,5.119227046E1
1.343098334E-1,7.778381348E0,-1.316854858E1,-4.887615967E1,5.121320994E1
1.442838334E-1,7.753906250E0,-1.297827148E1,-4.890881348E1,5.119209537E1
1.542588337E-1,7.543029785E0,-1.286370850E1,-4.903866577E1,5.125585855E1
1.642328333E-1,7.196411133E0,-1.247686768E1,-4.906039429E1,5.113103605E1
1.742068334E-1,6.955139160E0,-1.247125244E1,-4.938351440E1,5.140659095E1
1.841808334E-1,6.874938965E0,-1.239682007E1,-4.935174561E1,5.134725628E1
1.941548334E-1,6.898376465E0,-1.251358032E1,-4.946032715E1,5.148301906E1
2.041288335E-1,6.673828125E0,-1.249804688E1,-4.945877075E1,5.144814051E1
2.141028335E-1,6.221069336E0,-1.245892334E1,-4.973394775E1,5.164680081E1
2.240768336E-1,5.664855957E0,-1.209030151E1,-4.991464233E1,5.166950264E1
2.340508336E-1,5.358581543E0,-1.147158813E1,-4.961804199E1,5.120802497E1
2.440248337E-1,5.348144531E0,-1.131448364E1,-4.996066284E1,5.150425246E1
2.539988337E-1,5.129455566E0,-1.156857300E1,-5.040054321E1,5.196496851E1
2.639728333E-1,4.710083008E0,-1.137390137E1,-5.026412964E1,5.174971732E1
2.739478336E-1,4.249877930E0,-1.134930420E1,-5.023449707E1,5.167565059E1
2.839218336E-1,3.827453613E0,-1.109780884E1,-5.019137573E1,5.154594999E1
2.938958337E-1,3.846008301E0,-1.142877197E1,-5.061077881E1,5.202748831E1
3.038698337E-1,3.504028320E0,-1.166470337E1,-5.045175171E1,5.190108640E1
3.138438333E-1,3.095214844E0,-1.151730347E1,-5.052835083E1,5.191669165E1
3.238178333E-1,2.714294434E0,-1.129763794E1,-5.082162476E1,5.213292204E1
3.337918334E-1,2.365417480E0,-1.144839478E1,-5.069766235E1,5.202801083E1
3.437658334E-1,1.985412598E0,-1.151165771E1,-5.102481079E1,5.234492757E1
3.537398335E-1,1.791015625E0,-1.129309082E1,-5.063247681E1,5.190750760E1
3.637138335E-1,1.736145020E0,-1.110711670E1,-5.061517334E1,5.184860667E1
3.736878335E-1,1.177307129E0,-1.087548828E1,-5.021902466E1,5.139662183E1
3.836628334E-1,1.003967285E0,-1.091027832E1,-5.037118530E1,5.154899060E1
3.936368334E-1,9.489746094E-1,-1.063211060E1,-5.059252930E1,5.170634728E1
4.036108335E-1,4.625244141E-1,-1.025039673E1,-5.089343262E1,5.191749267E1
4.135848335E-1,5.645751953E-2,-1.010534668E1,-5.085113525E1,5.184553188E1
4.235588335E-1,-1.622314453E-1,-9.501800537E0,-5.093585205E1,5.181478126E1
4.335328336E-1,-9.744873047E-1,-9.181823730E0,-5.049847412E1,5.133567377E1
4.435068336E-1,-1.396789551E0,-9.284515381E0,-5.095803833E1,5.181577865E1
4.534808337E-1,-2.048400879E0,-8.735473633E0,-5.047259521E1,5.126389873E1
4.634548337E-1,-2.525390625E0,-8.531158447E0,-5.082879639E1,5.160159692E1
4.734288333E-1,-2.935913086E0,-8.462371826E0,-5.059335327E1,5.138013933E1
4.834028333E-1,-3.861328125E0,-7.861587524E0,-5.038931274E1,5.114486535E1
4.933768334E-1,-4.349792480E0,-8.094284058E0,-5.064901733E1,5.147583011E1
5.033518337E-1,-4.703735352E0,-8.012527466E0,-5.089297485E1,5.173413392E1
5.133258337E-1,-4.608093262E0,-7.666824341E0,-5.130416870E1,5.207813788E1
5.232998333E-1,-4.792114258E0,-7.126342773E0,-5.098150635E1,5.169973994E1
5.332738333E-1,-4.632080078E0,-6.436904907E0,-5.109033203E1,5.170214635E1
5.432478334E-1,-4.435180664E0,-6.192947388E0,-5.155749512E1,5.211716346E1
5.532218334E-1,-3.871887207E0,-5.643966675E0,-5.158883667E1,5.204088719E1
5.631958335E-1,-3.253295898E0,-5.439025879E0,-5.120178223E1,5.159253279E1
5.731698335E-1,-2.476745605E0,-5.565307617E0,-5.143988037E1,5.179930704E1
5.831438336E-1,-1.989807129E0,-5.527618408E0,-5.113171387E1,5.146810722E1
5.931178336E-1,-1.382873535E0,-5.290847778E0,-5.140145874E1,5.169154060E1
6.030918336E-1,-8.963012695E-1,-5.146469116E0,-5.129577637E1,5.156109166E1
6.130668335E-1,-3.952026367E-1,-5.233749390E0,-5.153155518E1,5.179816113E1
6.230408335E-1,-1.810913086E-1,-5.053802490E0,-5.148815918E1,5.173590870E1
6.330148336E-1,5.349731445E-1,-5.090133667E0,-5.131481934E1,5.156943223E1
6.429888336E-1,7.932739258E-1,-4.986373901E0,-5.134439087E1,5.159205057E1
6.529628336E-1,1.336975098E0,-4.942840576E0,-5.163232422E1,5.188560571E1
6.629368337E-1,1.910522461E0,-4.882110596E0,-5.144226074E1,5.170871581E1
6.729108337E-1,2.293884277E0,-4.781463623E0,-5.116775513E1,5.144184546E1
6.828848333E-1,3.096191406E0,-4.781051636E0,-5.130944824E1,5.162464852E1
6.928588334E-1,3.245849609E0,-4.855499268E0,-5.133374023E1,5.166492330E1
7.028328334E-1,3.771240234E0,-5.135208130E0,-5.135137939E1,5.174511360E1
