"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.723683333E-2,9.624084473E0,-1.713446045E1,-4.797109985E1,5.184051657E1
2.720983333E-2,9.724365234E0,-1.727517700E1,-4.813092041E1,5.205363118E1
3.718283333E-2,9.751403809E0,-1.720562744E1,-4.816339111E1,5.206568674E1
4.715583333E-2,9.746093750E0,-1.692575073E1,-4.825939941E1,5.206185756E1
5.712883333E-2,9.907775879E0,-1.636105347E1,-4.848193359E1,5.211857614E1
6.710183333E-2,1.008239746E1,-1.656729126E1,-4.852560425E1,5.225767069E1
7.707483333E-2,1.014904785E1,-1.623822021E1,-4.800259399E1,5.168106034E1
8.704783333E-2,1.020373535E1,-1.582388306E1,-4.767834473E1,5.126144795E1
9.702083333E-2,1.021588135E1,-1.579693604E1,-4.814355469E1,5.168857976E1
1.069938333E-1,1.041778564E1,-1.561654663E1,-4.860671997E1,5.210585392E1
1.169668333E-1,1.015795898E1,-1.547872925E1,-4.837979126E1,5.180134547E1
1.269398333E-1,1.025366211E1,-1.543032837E1,-4.825836182E1,5.169237957E1
1.369128333E-1,1.014569092E1,-1.554187012E1,-4.846145630E1,5.189409906E1
1.468858333E-1,1.046508789E1,-1.543151855E1,-4.820321655E1,5.168365230E1
1.568588333E-1,1.030010986E1,-1.556204224E1,-4.832992554E1,5.180782879E1
1.668318333E-1,1.025915527E1,-1.544732666E1,-4.829376221E1,5.173159224E1
1.768048333E-1,9.995178223E0,-1.539169312E1,-4.803332520E1,5.141991962E1
1.867778333E-1,1.007995605E1,-1.568338013E1,-4.827957153E1,5.175413948E1
1.967508333E-1,9.746520996E0,-1.544979858E1,-4.791537476E1,5.127937291E1
2.067238333E-1,9.558349609E0,-1.549230957E1,-4.819924927E1,5.152224115E1
2.166968333E-1,9.327392578E0,-1.547445679E1,-4.802041626E1,5.130710909E1
2.266698333E-1,9.192016602E0,-1.551876831E1,-4.791937256E1,5.120148050E1
2.366428333E-1,9.080383301E0,-1.568545532E1,-4.836816406E1,5.165235875E1
2.466148333E-1,8.649291992E0,-1.576321411E1,-4.855267334E1,5.177500613E1
2.565878333E-1,8.607666016E0,-1.576235962E1,-4.894458008E1,5.213555230E1
2.665608333E-1,8.374084473E0,-1.577764893E1,-4.885891724E1,5.202166174E1
2.765338333E-1,8.222595215E0,-1.592733765E1,-4.885888672E1,5.204307800E1
2.865068333E-1,7.980285645E0,-1.588430786E1,-4.937677002E1,5.247915408E1
2.964798333E-1,7.697814941E0,-1.579397583E1,-4.868627930E1,5.175963504E1
3.064528333E-1,7.499206543E0,-1.580111694E1,-4.885733032E1,5.189366167E1
3.164258333E-1,7.250366211E0,-1.600650024E1,-4.875457764E1,5.182455693E1
3.263988333E-1,6.971557617E0,-1.556686401E1,-4.929663086E1,5.216404590E1
3.363718333E-1,6.351562500E0,-1.585308838E1,-4.915155029E1,5.203400478E1
3.463448333E-1,6.082519531E0,-1.541033936E1,-4.924273682E1,5.195500680E1
3.563178333E-1,5.710754395E0,-1.465203857E1,-4.917895508E1,5.163201112E1
3.662908333E-1,4.861633301E0,-1.434881592E1,-4.896929932E1,5.125930425E1
3.762638333E-1,4.601989746E0,-1.414892578E1,-4.935363770E1,5.154756992E1
3.862368333E-1,4.155151367E0,-1.392166138E1,-4.949325562E1,5.158158867E1
3.962098333E-1,4.052551270E0,-1.331387329E1,-4.975744629E1,5.166706741E1
4.061828333E-1,3.591735840E0,-1.308862305E1,-4.983096313E1,5.164627292E1
4.161558333E-1,2.763305664E0,-1.224096680E1,-4.990396118E1,5.145757931E1
4.261288333E-1,2.114868164E0,-1.157284546E1,-5.018823242E1,5.154863813E1
4.361018333E-1,1.476562500E0,-1.089294434E1,-4.997479248E1,5.116948658E1
4.460748333E-1,1.063171387E0,-1.029336548E1,-5.033596802E1,5.138865033E1
4.560478333E-1,1.688842773E-1,-9.701568604E0,-5.052209473E1,5.144541778E1
4.660208333E-1,-3.538818359E-1,-9.099456787E0,-5.065713501E1,5.146912350E1
4.759938333E-1,-1.082397461E0,-8.321609497E0,-5.101876831E1,5.170430822E1
4.859658333E-1,-2.226867676E0,-7.596923828E0,-5.124081421E1,5.184875343E1
4.959388333E-1,-3.048339844E0,-6.613128662E0,-5.160604858E1,5.211727254E1
5.059118333E-1,-4.188293457E0,-5.596038818E0,-5.105123901E1,5.152753106E1
5.158848333E-1,-4.997436523E0,-5.350708008E0,-5.121768188E1,5.173833574E1
5.258578333E-1,-5.538085938E0,-4.670471191E0,-5.138403320E1,5.189222066E1
5.358308333E-1,-5.837402344E0,-4.183868408E0,-5.126062012E1,5.176129052E1
5.458038333E-1,-6.550537109E0,-3.493804932E0,-5.132421875E1,5.185838061E1
5.557768333E-1,-6.927246094E0,-3.183578491E0,-5.131655884E1,5.187977565E1
5.657498333E-1,-7.192138672E0,-2.376083374E0,-5.111437988E1,5.167255037E1
5.757228333E-1,-7.708984375E0,-1.792541504E0,-5.082015991E1,5.143277456E1
5.856958333E-1,-7.544128418E0,-8.379211426E-1,-5.113739014E1,5.169766586E1
5.956688333E-1,-8.041442871E0,-2.888488770E-2,-5.119558716E1,5.182329382E1
6.056418333E-1,-8.054992676E0,6.882781982E-1,-5.093145752E1,5.156907987E1
6.156148333E-1,-7.903930664E0,1.312698364E0,-5.108923340E1,5.171368355E1
6.255878333E-1,-8.157958984E0,2.073242188E0,-5.138629150E1,5.207112043E1
6.355608333E-1,-8.300231934E0,2.575515747E0,-5.104333496E1,5.177788307E1
6.455338333E-1,-8.486450195E0,2.908950806E0,-5.116571045E1,5.194623911E1
6.555068333E-1,-8.775512695E0,4.306411743E0,-5.080105591E1,5.173298838E1
6.654798333E-1,-9.174255371E0,4.289047241E0,-5.038604736E1,5.139374142E1
6.754528333E-1,-9.301696777E0,4.132843018E0,-5.022433472E1,5.124534859E1
6.854258333E-1,-9.855895996E0,4.144256592E0,-5.034747314E1,5.147020109E1
6.953978333E-1,-1.017834473E1,3.572052002E0,-5.089904785E1,5.202952363E1
7.053708333E-1,-1.086560059E1,3.274230957E0,-5.056939697E1,5.182707569E1
7.153438333E-1,-1.169580078E1,2.751296997E0,-5.041342163E1,5.182542302E1
7.253168333E-1,-1.272601318E1,2.190734863E0,-4.998419189E1,5.162528615E1
7.352898333E-1,-1.347192383E1,1.242019653E0,-5.019757080E1,5.198876281E1
7.452628333E-1,-1.419915771E1,1.154632568E-1,-5.020150757E1,5.217107219E1
7.552358333E-1,-1.515515137E1,-1.413223267E0,-4.985159302E1,5.212347973E1
7.652088333E-1,-1.622619629E1,-2.894210815E0,-4.929284668E1,5.197548110E1
7.751818333E-1,-1.707128906E1,-4.402053833E0,-4.909240723E1,5.216197308E1
7.851548333E-1,-1.827215576E1,-6.420700073E0,-4.866265869E1,5.237510302E1
7.951278333E-1,-1.941113281E1,-8.519699097E0,-4.809735107E1,5.256170212E1
8.051008333E-1,-2.068878174E1,-1.043997192E1,-4.669717407E1,5.213103461E1
8.150738333E-1,-2.176184082E1,-1.256204224E1,-4.547561646E1,5.195588815E1
8.250468333E-1,-2.272430420E1,-1.466696167E1,-4.439138794E1,5.198181499E1
8.350198333E-1,-2.398193359E1,-1.726083374E1,-4.298324585E1,5.215964862E1
8.449928333E-1,-2.466210938E1,-1.979516602E1,-4.164721680E1,5.229301008E1
8.549658333E-1,-2.547680664E1,-2.283090210E1,-3.999893188E1,5.263299649E1
8.649388333E-1,-2.619830322E1,-2.561422729E1,-3.761660767E1,5.251141689E1
8.749118333E-1,-2.669055176E1,-2.832131958E1,-3.466537476E1,5.211689652E1
8.848848333E-1,-2.739056396E1,-3.081915283E1,-3.198004150E1,5.218032417E1
8.948578333E-1,-2.779742432E1,-3.333813477E1,-2.909396362E1,5.225501648E1
9.048308333E-1,-2.795922852E1,-3.596875000E1,-2.595605469E1,5.243268266E1
9.148034167E-1,-2.806292725E1,-3.804727173E1,-2.232510376E1,5.228320026E1
9.247754167E-1,-2.767858887E1,-3.981912231E1,-1.858160400E1,5.193209789E1
9.347484167E-1,-2.736059570E1,-4.179327393E1,-1.435952759E1,5.197572486E1
9.447214167E-1,-2.665203857E1,-4.340548706E1,-1.106018066E1,5.212192498E1
9.546944167E-1,-2.635815430E1,-4.447610474E1,-7.260742188E0,5.220722716E1
9.646674167E-1,-2.494622803E1,-4.529116821E1,-3.595123291E0,5.183173856E1
9.746404167E-1,-2.399591064E1,-4.617337036E1,-1.179809570E-1,5.203650428E1
9.846134167E-1,-2.310205078E1,-4.625143433E1,3.866912842E0,5.184450735E1
9.945864167E-1,-2.214221191E1,-4.643258667E1,7.799255371E0,5.202971303E1
1.004559417E0,-2.089025879E1,-4.620822144E1,1.129565430E1,5.195377221E1
1.014532417E0,-1.953338623E1,-4.567523193E1,1.494894409E1,5.187726785E1
1.024505417E0,-1.806433105E1,-4.498629761E1,1.880917358E1,5.199876960E1
1.034478417E0,-1.677624512E1,-4.390557861E1,2.213702393E1,5.195373001E1
1.044451417E0,-1.508428955E1,-4.270782471E1,2.504666138E1,5.175740844E1
1.054424417E0,-1.350787354E1,-4.138058472E1,2.800537109E1,5.176018015E1
1.064397417E0,-1.227874756E1,-4.000469971E1,3.053839111E1,5.180479681E1
1.074370417E0,-1.063574219E1,-3.855163574E1,3.278628540E1,5.171351990E1
1.084343417E0,-9.051696777E0,-3.700704956E1,3.495941162E1,5.170701493E1
1.094316417E0,-7.197753906E0,-3.535607910E1,3.687658691E1,5.159207936E1
1.104289417E0,-6.335754395E0,-3.352020264E1,3.862805176E1,5.153515452E1
1.114262417E0,-5.243652344E0,-3.168704224E1,3.984890747E1,5.118105081E1
1.124235417E0,-3.839172363E0,-2.978851318E1,4.157604980E1,5.128998615E1
1.134208417E0,-2.563293457E0,-2.777178955E1,4.347735596E1,5.165387932E1
1.144180417E0,-1.311645508E0,-2.529614258E1,4.461334229E1,5.130268563E1
1.154153417E0,8.074951172E-2,-2.292092896E1,4.609460449E1,5.147900609E1
1.164126417E0,1.124389648E0,-2.050775146E1,4.741616821E1,5.167325353E1
1.174099417E0,2.225646973E0,-1.818478394E1,4.836859131E1,5.172195372E1
1.184072417E0,2.942626953E0,-1.561111450E1,4.913156128E1,5.163599774E1
1.194045417E0,3.876647949E0,-1.342605591E1,4.949652100E1,5.143143948E1
1.204018417E0,4.552368164E0,-1.084408569E1,4.985629272E1,5.122468326E1
1.213991417E0,5.299804688E0,-8.521835327E0,5.054171753E1,5.152838847E1
1.223964417E0,6.112304688E0,-6.231338501E0,5.033670044E1,5.108789739E1
1.233937417E0,6.575988770E0,-3.646102905E0,5.045916748E1,5.101632364E1
1.243910417E0,6.682067871E0,-1.398712158E0,5.080484009E1,5.126146899E1
1.253883417E0,6.820678711E0,8.923645020E-1,5.049319458E1,5.095959842E1
1.263856417E0,6.887817383E0,2.930206299E0,5.015969849E1,5.071512092E1
1.273829417E0,7.029174805E0,5.195205688E0,4.962124634E1,5.038519176E1
1.283802417E0,6.788085938E0,6.937561035E0,4.992987061E1,5.086452440E1
1.293775417E0,6.426635742E0,9.279953003E0,4.936816406E1,5.064222347E1
1.303748417E0,6.061950684E0,1.130595398E1,4.922799683E1,5.087207007E1
1.313721417E0,5.498718262E0,1.348269653E1,4.873648071E1,5.086515075E1
1.323694417E0,4.694396973E0,1.572959900E1,4.816952515E1,5.088969248E1
1.333667417E0,4.407653809E0,1.772267151E1,4.748434448E1,5.087517537E1
1.343640417E0,3.456726074E0,1.965524292E1,4.626257324E1,5.038356093E1
1.353613417E0,2.888427734E0,2.151679993E1,4.540844727E1,5.033132997E1
1.363585417E0,2.365417480E0,2.326957703E1,4.477117920E1,5.051264101E1
1.373558417E0,1.874633789E0,2.511181641E1,4.402804565E1,5.072067014E1
1.383531417E0,1.133239746E0,2.659005737E1,4.308935547E1,5.064590742E1
1.393504417E0,6.232910156E-1,2.849992371E1,4.155331421E1,5.039158724E1
1.403477417E0,-4.165039062E-1,2.974430847E1,4.032473755E1,5.010969787E1
1.413450417E0,-1.461059570E0,3.137344360E1,3.951794434E1,5.047866463E1
1.423423417E0,-2.110534668E0,3.286492920E1,3.854064941E1,5.069457155E1
1.433396417E0,-3.046203613E0,3.404054260E1,3.718786621E1,5.050718058E1
1.443369417E0,-4.537597656E0,3.518888855E1,3.589556885E1,5.047117527E1
1.453342417E0,-5.852783203E0,3.623200989E1,3.474084473E1,5.053652050E1
1.463315417E0,-6.849365234E0,3.741224670E1,3.316543579E1,5.046321570E1
