"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.550845833E-2,9.514404297E0,-2.523007202E1,-4.323541260E1,5.095469876E1
2.548245833E-2,9.239501953E0,-2.531597900E1,-4.327716064E1,5.098215200E1
3.545545833E-2,9.063903809E0,-2.512612915E1,-4.337518311E1,5.093999635E1
4.542945833E-2,8.668029785E0,-2.482846069E1,-4.390087891E1,5.117493888E1
5.540345833E-2,8.104736328E0,-2.434518433E1,-4.391610718E1,5.086255224E1
6.537745833E-2,7.808166504E0,-2.394595337E1,-4.436367798E1,5.101482207E1
7.535145833E-2,7.104675293E0,-2.349694824E1,-4.429336548E1,5.064074657E1
8.532545833E-2,6.537353516E0,-2.338491821E1,-4.524734497E1,5.135088721E1
9.529945833E-2,6.198974609E0,-2.278118896E1,-4.545043945E1,5.121671898E1
1.052724583E-1,5.709289551E0,-2.178723145E1,-4.548654175E1,5.075731397E1
1.152464583E-1,5.199768066E0,-2.095675659E1,-4.560067749E1,5.045438556E1
1.252204583E-1,4.967834473E0,-2.042672729E1,-4.631594849E1,5.086351985E1
1.351944583E-1,4.962219238E0,-1.968612671E1,-4.691921997E1,5.112318855E1
1.451684583E-1,4.463684082E0,-1.897433472E1,-4.666574097E1,5.057312758E1
1.551424583E-1,4.034362793E0,-1.861383057E1,-4.712911987E1,5.083212283E1
1.651164583E-1,3.607482910E0,-1.783007812E1,-4.754666138E1,5.090786410E1
1.750894583E-1,3.526733398E0,-1.741476440E1,-4.851977539E1,5.167088611E1
1.850634583E-1,3.198059082E0,-1.669946289E1,-4.849307251E1,5.138752499E1
1.950374583E-1,2.597290039E0,-1.627951050E1,-4.855047607E1,5.127296661E1
2.050114583E-1,2.414672852E0,-1.586395264E1,-4.896273804E1,5.152519145E1
2.149854583E-1,2.043762207E0,-1.579690552E1,-4.884286499E1,5.137455254E1
2.249594583E-1,1.373535156E0,-1.596960449E1,-4.861392212E1,5.118816553E1
2.349334583E-1,1.312988281E0,-1.584414673E1,-4.876336670E1,5.128963692E1
2.449074583E-1,8.104248047E-1,-1.601513672E1,-4.872564697E1,5.129649175E1
2.548804583E-1,3.545532227E-1,-1.566317749E1,-4.860055542E1,5.106343921E1
2.648544583E-1,3.930664062E-2,-1.554434204E1,-4.865081787E1,5.107377208E1
