"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
6.708979607E-3,6.342028677E1,1.040638053E1,5.446672821E1,9.523453947E1,-1.000000000E0,-1.000000000E0,3.146600643E-2,4.900000000E1,4.900000000E1,-1.000000000E0
4.164149761E-1,6.342039140E1,1.040579291E1,4.839939117E1,8.916804820E1,-1.000000000E0,-1.000000000E0,1.137218724E-1,7.700000000E1,7.700000000E1,-1.000000000E0
1.130861998E0,6.342044676E1,1.040414426E1,4.462518311E1,8.539644800E1,1.899999976E-1,-1.000000000E0,1.331929460E-1,2.679233841E1,2.679233841E1,-1.000000000E0
2.129529953E0,6.342027669E1,1.040405106E1,5.142724609E1,9.219882951E1,5.299999714E-1,5.800781250E1,1.351851898E-1,3.732742247E0,3.732742247E0,-1.000000000E0
3.133508921E0,6.342026495E1,1.040408132E1,5.321813965E1,9.398968579E1,5.299999714E-1,3.832031250E1,1.361810761E-1,3.535533906E0,3.535533906E0,-1.000000000E0
4.124203920E0,6.342026655E1,1.040410101E1,5.321923828E1,9.399075103E1,1.049999952E0,4.113281250E1,1.373315215E-1,3.535533906E0,3.535533906E0,-1.000000000E0
5.123389006E0,6.342027011E1,1.040412272E1,5.363269043E1,9.440416460E1,1.279999971E0,4.183593750E1,1.390879209E-1,3.535533906E0,3.535533906E0,-1.000000000E0
6.122400045E0,6.342028033E1,1.040414963E1,5.398443604E1,9.475585665E1,1.759999990E0,4.042968750E1,1.404018144E-1,3.535533906E0,3.535533906E0,-1.000000000E0
7.101602077E0,6.342028448E1,1.040417436E1,5.348492432E1,9.425630090E1,1.759999990E0,5.132812500E1,1.419683109E-1,3.535533906E0,3.535533906E0,-1.000000000E0
8.101599693E0,6.342028691E1,1.040420537E1,5.228350830E1,9.305483240E1,1.629999995E0,4.078125000E1,1.436813945E-1,3.535533906E0,3.535533906E0,-1.000000000E0
9.101583362E0,6.342029337E1,1.040423663E1,5.142504883E1,9.219631605E1,1.539999962E0,5.167968750E1,1.450146629E-1,3.535533906E0,3.535533906E0,-1.000000000E0
1.010158432E1,6.342029991E1,1.040425910E1,5.012951660E1,9.090074109E1,1.539999962E0,5.167968750E1,1.468552478E-1,3.535533906E0,3.535533906E0,-1.000000000E0
1.110158372E1,6.342030959E1,1.040428910E1,4.962908936E1,9.040025582E1,1.830000043E0,5.203125000E1,1.484122513E-1,3.535533906E0,3.535533906E0,-1.000000000E0
1.210156548E1,6.342031545E1,1.040431752E1,4.837353516E1,8.914464994E1,1.830000043E0,5.203125000E1,1.498146350E-1,3.535533906E0,3.535533906E0,-1.000000000E0
1.310156238E1,6.342032250E1,1.040434090E1,4.896343994E1,8.973451000E1,1.500000000E0,4.816406250E1,1.513098416E-1,3.535533906E0,3.535533906E0,-1.000000000E0
1.410156512E1,6.342033147E1,1.040436328E1,4.900510813E1,8.977613318E1,1.500000000E0,4.816408251E1,1.527103688E-1,4.654252083E0,4.654252083E0,-1.000000000E0
1.510155010E1,6.342033783E1,1.040438757E1,4.849485803E1,8.926583757E1,1.480000019E0,5.449220907E1,1.539918885E-1,4.654252115E0,4.654252115E0,-1.000000000E0
1.610154819E1,6.342034367E1,1.040440979E1,4.772548317E1,8.849642106E1,1.409999967E0,5.238283250E1,1.552278390E-1,4.654252141E0,4.654252141E0,-1.000000000E0
1.710154963E1,6.342034113E1,1.040443397E1,4.665843982E1,8.742934117E1,1.200000048E0,7.312502056E1,1.566945458E-1,4.654252136E0,4.654252136E0,-1.000000000E0
1.810153437E1,6.342033412E1,1.040445895E1,4.641488666E1,8.718575459E1,1.200000048E0,9.281252146E1,1.586412819E-1,4.654252107E0,4.654252107E0,-1.000000000E0
1.910153162E1,6.342031858E1,1.040447697E1,4.534686679E1,8.611772097E1,1.200000048E0,1.233984554E2,1.608524298E-1,4.654252039E0,4.654252039E0,-1.000000000E0
2.010153902E1,6.342030020E1,1.040449394E1,4.484867879E1,8.561952371E1,1.269999981E0,1.395703272E2,1.631369426E-1,4.654251951E0,4.654251951E0,-1.000000000E0
2.110152519E1,6.342027966E1,1.040449354E1,4.511455174E1,8.588541759E1,1.269999981E0,1.631250066E2,1.655451357E-1,4.654251852E0,4.654251852E0,-1.000000000E0
2.210150969E1,6.342025876E1,1.040448081E1,4.473293326E1,8.550384030E1,1.350000024E0,1.824609365E2,1.681627641E-1,4.654251751E0,4.654251751E0,-1.000000000E0
2.310149431E1,6.342024013E1,1.040444865E1,4.460008646E1,8.537106385E1,1.509999990E0,2.105859237E2,1.706527986E-1,4.654251659E0,4.654251659E0,-1.000000000E0
2.410148013E1,6.342022476E1,1.040441227E1,4.413822962E1,8.490928095E1,1.509999990E0,2.253515433E2,1.733335599E-1,4.654251580E0,4.654251580E0,-1.000000000E0
2.510146570E1,6.342021145E1,1.040436734E1,4.366693908E1,8.443807612E1,1.679999948E0,2.383593494E2,1.756072106E-1,4.654251515E0,4.654251515E0,-1.000000000E0
2.610145211E1,6.342020122E1,1.040432777E1,4.349084502E1,8.426205607E1,1.679999948E0,2.443359104E2,1.774872929E-1,4.654251465E0,4.654251465E0,-1.000000000E0
2.710143840E1,6.342019298E1,1.040429477E1,4.386300683E1,8.463427931E1,1.460000038E0,2.471484134E2,1.795474321E-1,4.654251424E0,4.654251424E0,-1.000000000E0
2.810142422E1,6.342018240E1,1.040426078E1,4.365475488E1,8.442609271E1,1.490000010E0,2.439843510E2,1.814722685E-1,4.654251377E0,4.654251377E0,-1.000000000E0
2.910141075E1,6.342017297E1,1.040422834E1,4.407088113E1,8.484228068E1,1.490000010E0,2.425781013E2,1.831994715E-1,4.654251335E0,4.654251335E0,-1.000000000E0
3.010139847E1,6.342016509E1,1.040419842E1,4.378374124E1,8.455519689E1,1.490000010E0,2.439843510E2,1.848229556E-1,4.654251299E0,4.654251299E0,-1.000000000E0
3.110138547E1,6.342015926E1,1.040416851E1,4.477482628E1,8.554633601E1,1.440000057E0,2.474999762E2,1.866841702E-1,4.654251271E0,4.654251271E0,-1.000000000E0
3.210137343E1,6.342015645E1,1.040413163E1,4.517752864E1,8.594910070E1,1.559999943E0,2.548827855E2,1.883163016E-1,4.654251258E0,4.654251258E0,-1.000000000E0
3.310136092E1,6.342015637E1,1.040409882E1,4.452071788E1,8.529234300E1,1.559999943E0,2.633202848E2,1.905625271E-1,4.654251257E0,4.654251257E0,-1.000000000E0
3.410134864E1,6.342017563E1,1.040408516E1,4.842049556E1,8.919212373E1,9.515340650E-1,2.840576943E2,1.914378260E-1,4.745412451E0,4.745412451E0,-1.000000000E0
3.510133719E1,6.342017528E1,1.040410273E1,4.794422850E1,8.871582863E1,8.868809404E-2,-1.000000000E0,1.919904910E-1,4.748316341E0,4.748316341E0,-1.000000000E0
3.610132599E1,6.342017922E1,1.040410951E1,4.778822397E1,8.855980926E1,2.248793784E-2,-1.000000000E0,1.919923345E-1,4.749353887E0,4.749353887E0,-1.000000000E0
3.710131419E1,6.342017923E1,1.040410948E1,4.778956719E1,8.856115252E1,0.000000000E0,-1.000000000E0,1.919923345E-1,4.741976020E0,4.741976020E0,-1.000000000E0
3.810130274E1,6.342017923E1,1.040410948E1,4.778956719E1,8.856115252E1,0.000000000E0,1.329891745E2,1.919923345E-1,4.739291446E0,4.739291446E0,-1.000000000E0
3.910129106E1,6.342017923E1,1.040410948E1,4.778956719E1,8.856115252E1,0.000000000E0,1.329891745E2,1.919923345E-1,4.737349669E0,4.737349669E0,-1.000000000E0
4.010128021E1,6.342017923E1,1.040410948E1,4.778956719E1,8.856115252E1,0.000000000E0,-1.000000000E0,1.919923345E-1,4.736529806E0,4.736529806E0,-1.000000000E0
4.110126984E1,6.342017923E1,1.040410948E1,4.778956719E1,8.856115252E1,0.000000000E0,-1.000000000E0,1.919923345E-1,4.736170411E0,4.736170411E0,-1.000000000E0
4.210125852E1,6.342017923E1,1.040410948E1,4.778956719E1,8.856115252E1,0.000000000E0,2.843864398E2,1.919923345E-1,4.731918164E0,4.731918164E0,-1.000000000E0
4.310124850E1,6.342017923E1,1.040410948E1,4.778956719E1,8.856115252E1,0.000000000E0,2.843864398E2,1.919923345E-1,4.731397468E0,4.731397468E0,-1.000000000E0
4.410123801E1,6.342017923E1,1.040410948E1,4.778956719E1,8.856115252E1,0.000000000E0,2.843864398E2,1.919923345E-1,4.731626722E0,4.731626722E0,-1.000000000E0
4.510122693E1,6.342017923E1,1.040410948E1,4.778956719E1,8.856115252E1,0.000000000E0,2.843864398E2,1.919923345E-1,4.730845137E0,4.730845137E0,-1.000000000E0
4.610121655E1,6.342017923E1,1.040410948E1,4.778956719E1,8.856115252E1,0.000000000E0,2.843864398E2,1.919923345E-1,4.729923920E0,4.729923920E0,-1.000000000E0
4.710120630E1,6.342017923E1,1.040410948E1,4.778956719E1,8.856115252E1,0.000000000E0,2.843864398E2,"",4.729555062E0,4.729555062E0,-1.000000000E0
