"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
4.217037500E-2,3.429050446E1,-1.327502441E1,-3.488233185E1,5.068374536E1
5.222637497E-2,3.420653534E1,-1.276975250E1,-3.502456665E1,5.059519649E1
6.228237494E-2,3.411046600E1,-1.232135773E1,-3.515568542E1,5.051001846E1
7.233837491E-2,3.382743073E1,-1.114436722E1,-3.564384460E1,5.038824911E1
8.239437500E-2,3.346868134E1,-1.042057800E1,-3.610160065E1,5.031964473E1
9.245037497E-2,3.285280609E1,-9.806377411E0,-3.708321381E1,5.050382809E1
1.025063749E-1,3.198738861E1,-9.323326111E0,-3.763437653E1,5.026394072E1
1.125623749E-1,3.091637421E1,-8.951782227E0,-3.862288666E1,5.027607754E1
1.226183750E-1,2.967693329E1,-8.444561005E0,-3.960113525E1,5.020239928E1
1.326743750E-1,2.851895905E1,-7.748252869E0,-4.055863953E1,5.018336067E1
1.427303749E-1,2.732205963E1,-7.109245300E0,-4.152671814E1,5.021458584E1
1.527863749E-1,2.626207733E1,-6.421672821E0,-4.225875854E1,5.016709341E1
1.628423750E-1,2.524623871E1,-5.387329102E0,-4.298161316E1,5.013795921E1
1.728985833E-1,2.406555939E1,-4.360023499E0,-4.353976440E1,4.993868278E1
1.829545833E-1,2.287815094E1,-3.351970673E0,-4.435456085E1,5.001972177E1
1.930105833E-1,2.170394135E1,-2.373332977E0,-4.502511597E1,5.003953284E1
2.030665833E-1,2.027642059E1,-1.419487000E0,-4.573958588E1,5.005255130E1
2.131225833E-1,1.864522552E1,-3.246078491E-1,-4.647540283E1,5.007706934E1
2.231785833E-1,1.738542938E1,6.609916687E-1,-4.710823822E1,5.021828525E1
2.332345833E-1,1.596793365E1,1.905265808E0,-4.745785522E1,5.010841212E1
2.432905833E-1,1.480010223E1,3.379901886E0,-4.777542877E1,5.012941609E1
2.533465833E-1,1.398520660E1,4.837675095E0,-4.760523987E1,4.985226140E1
2.634025833E-1,1.344757843E1,6.327808380E0,-4.780305481E1,5.006006965E1
2.734595833E-1,1.305333710E1,7.891466141E0,-4.764092255E1,5.002321809E1
2.835155833E-1,1.286969757E1,9.182357788E0,-4.750272369E1,5.006449409E1
