"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.877779164E-2,2.591466522E1,-2.942752838E0,-4.249312592E1,4.985875468E1
2.883279172E-2,2.575185394E1,-2.668796539E0,-4.271564484E1,4.994904174E1
3.888779168E-2,2.551544952E1,-2.418788910E0,-4.277776337E1,4.986808341E1
4.894279165E-2,2.511162567E1,-1.622932434E0,-4.312101746E1,4.992644389E1
5.899779173E-2,2.496976471E1,-1.022113800E0,-4.315529633E1,4.986896297E1
6.905279169E-2,2.477945709E1,-1.694755554E-1,-4.326169586E1,4.985603820E1
7.910779165E-2,2.472510529E1,3.712539673E-1,-4.323952484E1,4.981089408E1
8.916279173E-2,2.463488007E1,1.120750427E0,-4.317272949E1,4.971939228E1
9.921779169E-2,2.439218903E1,1.762603760E0,-4.335771942E1,4.977928777E1
1.092737917E-1,2.389771271E1,2.328105927E0,-4.332376099E1,4.953250464E1
1.193287917E-1,2.336788177E1,2.676174164E0,-4.377049255E1,4.968979599E1
1.293837917E-1,2.264093781E1,3.129470825E0,-4.415028381E1,4.971572400E1
1.394387917E-1,2.198317719E1,3.643655777E0,-4.448157501E1,4.975084745E1
1.494937917E-1,2.124716949E1,4.029788971E0,-4.461836243E1,4.958305836E1
1.595487917E-1,2.065587616E1,4.449121475E0,-4.489665222E1,4.962025073E1
1.696037917E-1,1.995743561E1,5.041238785E0,-4.488562012E1,4.938048418E1
1.796587917E-1,1.945061493E1,6.055706024E0,-4.500635529E1,4.940212559E1
1.897137917E-1,1.900489044E1,7.019588470E0,-4.512155151E1,4.946124639E1
1.997697917E-1,1.852185822E1,8.207096100E0,-4.507004547E1,4.941381039E1
2.098247501E-1,1.793613434E1,9.434156418E0,-4.499073029E1,4.934444279E1
2.198797500E-1,1.724674225E1,1.062169456E1,-4.523543549E1,4.956324381E1
2.299347500E-1,1.650585175E1,1.175883865E1,-4.520209503E1,4.953728720E1
2.399897501E-1,1.561688995E1,1.263431740E1,-4.526750183E1,4.952433695E1
2.500447500E-1,1.494869232E1,1.313854980E1,-4.544932556E1,4.961578466E1
2.600997500E-1,1.429431915E1,1.341267014E1,-4.561979675E1,4.965272536E1
2.701547500E-1,1.348448944E1,1.317379570E1,-4.573926544E1,4.947181775E1
2.802097501E-1,1.291863251E1,1.270866394E1,-4.589270782E1,4.934107656E1
2.902647500E-1,1.204781342E1,1.183603668E1,-4.641661835E1,4.939376510E1
3.003207500E-1,1.098184967E1,1.095636368E1,-4.685452271E1,4.935574156E1
3.103757501E-1,9.830406189E0,1.012023735E1,-4.724917603E1,4.931065529E1
3.204307500E-1,8.498023987E0,9.402585983E0,-4.771643829E1,4.937087723E1
3.304857500E-1,7.471572876E0,9.135066986E0,-4.815892792E1,4.958382991E1
3.405407501E-1,6.883796692E0,9.002721786E0,-4.821986389E1,4.953373527E1
3.505957500E-1,6.480255127E0,9.111318588E0,-4.823388672E1,4.951280300E1
3.606507500E-1,6.588088989E0,9.340961456E0,-4.814817047E1,4.948639002E1
3.707057501E-1,6.844467163E0,9.664932251E0,-4.798956299E1,4.942930105E1
3.807607500E-1,7.142349243E0,1.006753349E1,-4.798448944E1,4.954674167E1
3.908167500E-1,7.282943726E0,1.017554665E1,-4.787397766E1,4.948232771E1
4.008717501E-1,7.341117859E0,1.021133041E1,-4.801759338E1,4.963720938E1
4.109267500E-1,6.870254517E0,1.007225037E1,-4.794862366E1,4.947444932E1
4.209817500E-1,6.259391785E0,9.682132721E0,-4.818463135E1,4.954475126E1
4.310367501E-1,5.486427307E0,9.188407898E0,-4.824422455E1,4.941692955E1
4.410917500E-1,4.503974915E0,8.747360229E0,-4.845781708E1,4.944655839E1
4.511467500E-1,3.615142822E0,8.447494507E0,-4.842976379E1,4.929372620E1
4.612017500E-1,2.921928406E0,8.201608658E0,-4.879239655E1,4.956311139E1
4.712567501E-1,2.582580566E0,8.014226913E0,-4.862889862E1,4.935248055E1
4.813127500E-1,2.414733887E0,8.018138885E0,-4.885645294E1,4.956888626E1
4.913677500E-1,2.519874573E0,8.189584732E0,-4.874500275E1,4.949236667E1
5.014227501E-1,2.745979309E0,8.104747772E0,-4.860550690E1,4.935304083E1
5.114777500E-1,2.514289856E0,8.003982544E0,-4.873012543E1,4.944704758E1
5.215327500E-1,2.165107727E0,7.732738495E0,-4.884532928E1,4.950100129E1
5.315877501E-1,1.861892700E0,7.755607605E0,-4.863475800E1,4.928443749E1
5.416427500E-1,1.523056030E0,7.697929382E0,-4.890779877E1,4.953332814E1
5.516977500E-1,1.415519714E0,7.768013000E0,-4.884792328E1,4.948196975E1
5.617527501E-1,1.684509277E0,7.890274048E0,-4.877365875E1,4.943646209E1
5.718077500E-1,2.002586365E0,8.203395844E0,-4.847687531E1,4.920684398E1
5.818637500E-1,2.731796265E0,8.614152908E0,-4.849954987E1,4.933429515E1
5.919187501E-1,3.305397034E0,9.115072250E0,-4.825164795E1,4.921617337E1
6.019737500E-1,3.925041199E0,9.594287872E0,-4.820353699E1,4.930555026E1
6.120287500E-1,4.661857605E0,9.979463577E0,-4.811122894E1,4.935598201E1
6.220837501E-1,5.363777161E0,1.049440002E1,-4.794350433E1,4.937086332E1
6.321387501E-1,5.613784790E0,1.090394402E1,-4.770468140E1,4.925593570E1
6.421937500E-1,5.801002502E0,1.119048691E1,-4.800213623E1,4.962946413E1
6.522487500E-1,5.808044434E0,1.143963432E1,-4.772816467E1,4.942242726E1
6.623037501E-1,5.696434021E0,1.129191780E1,-4.788040161E1,4.952261732E1
6.723597500E-1,5.595252991E0,1.124270439E1,-4.774537659E1,4.936928441E1
6.824147500E-1,5.537864685E0,1.114076996E1,-4.765243530E1,4.924976437E1
6.924697501E-1,5.324699402E0,1.091346931E1,-4.800173950E1,4.951386908E1
7.025247500E-1,5.054496765E0,1.074838257E1,-4.804852295E1,4.949481006E1
7.125797500E-1,4.820007324E0,1.069590759E1,-4.796875763E1,4.938255379E1
7.226347501E-1,4.510215759E0,1.067329788E1,-4.795856476E1,4.933847654E1
7.326897500E-1,4.050476074E0,1.057473183E1,-4.786219788E1,4.918354700E1
7.427447500E-1,3.436508179E0,1.055139542E1,-4.803121185E1,4.929643847E1
7.527997501E-1,2.782714844E0,1.026112366E1,-4.800249481E1,4.916577741E1
7.628547500E-1,1.821426392E0,9.973833084E0,-4.817093658E1,4.922635546E1
7.729107500E-1,9.252166748E-1,9.391252518E0,-4.820401001E1,4.911902107E1
7.829657501E-1,-1.748809814E-1,8.926729202E0,-4.841056824E1,4.922702708E1
7.930207500E-1,-1.374641418E0,8.368034363E0,-4.859969330E1,4.933400274E1
8.030757500E-1,-2.272720337E0,7.533117294E0,-4.870293427E1,4.933445976E1
8.131307501E-1,-3.560897827E0,6.868490219E0,-4.888069153E1,4.948917210E1
8.231857501E-1,-4.892723083E0,5.805767059E0,-4.888436127E1,4.947046035E1
8.332407500E-1,-6.545516968E0,4.677818298E0,-4.891750336E1,4.957467006E1
8.432957500E-1,-8.532699585E0,3.356122971E0,-4.879596710E1,4.964994390E1
8.533507501E-1,-1.047233582E1,1.637519836E0,-4.836688995E1,4.951471834E1
8.634067500E-1,-1.244081116E1,-2.649383545E-1,-4.779553986E1,4.938884089E1
8.734617500E-1,-1.459294891E1,-2.124721527E0,-4.723474884E1,4.948323047E1
8.835167501E-1,-1.685497284E1,-4.079288483E0,-4.651985168E1,4.964702715E1
8.935717500E-1,-1.881875610E1,-6.070835114E0,-4.552382660E1,4.963284606E1
9.036267500E-1,-2.071473694E1,-7.879177094E0,-4.430120087E1,4.953562512E1
9.136817501E-1,-2.245610809E1,-9.935611725E0,-4.306802368E1,4.957668640E1
9.237367500E-1,-2.395428467E1,-1.187525177E1,-4.186364746E1,4.967287325E1
9.337917500E-1,-2.535109711E1,-1.383199692E1,-4.052012634E1,4.975824456E1
9.438467501E-1,-2.653362274E1,-1.581445694E1,-3.906830597E1,4.980424395E1
9.539017500E-1,-2.774372864E1,-1.748464584E1,-3.724479675E1,4.962461289E1
9.639577500E-1,-2.882890320E1,-1.917593002E1,-3.551428223E1,4.959925598E1
9.740127501E-1,-2.984874725E1,-2.095781708E1,-3.400096893E1,4.986224722E1
9.840677500E-1,-3.102573395E1,-2.249549484E1,-3.194505310E1,4.989118031E1
9.941227500E-1,-3.204505920E1,-2.388509369E1,-3.011212158E1,5.004121687E1
1.004177750E0,-3.286920929E1,-2.527687073E1,-2.762614441E1,4.982478267E1
1.014232750E0,-3.389051819E1,-2.665325928E1,-2.537631226E1,5.002919824E1
1.024287750E0,-3.469492340E1,-2.798456573E1,-2.286280060E1,5.009572118E1
1.034342750E0,-3.569522095E1,-2.916103745E1,-2.018246460E1,5.031746000E1
1.044397750E0,-3.656401825E1,-3.018191910E1,-1.716096497E1,5.042196336E1
1.054453750E0,-3.737119293E1,-3.105450821E1,-1.380861664E1,5.051402216E1
1.064508750E0,-3.806609344E1,-3.149097061E1,-1.001564789E1,5.040854990E1
1.074563750E0,-3.875632477E1,-3.184162521E1,-6.161048889E0,5.053612895E1
1.084618750E0,-3.875632477E1,-3.184162521E1,-6.161048889E0,5.053612895E1
1.094673750E0,-3.952031708E1,-3.186107254E1,2.520217896E0,5.082651772E1
1.104728750E0,-3.940927887E1,-3.112122726E1,7.085823059E0,5.071322250E1
1.114783750E0,-3.917868042E1,-3.047667313E1,1.159879303E1,5.097380312E1
1.124838750E0,-3.917868042E1,-3.047667313E1,1.159879303E1,5.097380312E1
1.134893750E0,-3.877894592E1,-2.942332077E1,1.546756744E1,5.107625764E1
1.144948750E0,-3.828958893E1,-2.811338425E1,1.938375092E1,5.130482232E1
1.155003750E0,-3.734684753E1,-2.656289291E1,2.281407928E1,5.119430158E1
1.165059750E0,-3.646409607E1,-2.508279800E1,2.608882904E1,5.137513074E1
1.175114750E0,-3.530467987E1,-2.363632965E1,2.885655975E1,5.135949319E1
1.185169750E0,-3.432847595E1,-2.177219391E1,3.142034149E1,5.137811351E1
1.195224750E0,-3.321694946E1,-1.977185822E1,3.385094452E1,5.138266783E1
1.205280250E0,-3.196849060E1,-1.778567886E1,3.660004425E1,5.174821739E1
1.215335250E0,-3.048299408E1,-1.548912811E1,3.858834076E1,5.155759944E1
1.225390250E0,-2.896248627E1,-1.314251328E1,4.049858856E1,5.149453312E1
1.235445250E0,-2.744454193E1,-1.073526001E1,4.255094147E1,5.175935963E1
1.245500250E0,-2.588751984E1,-8.327194214E0,4.406763458E1,5.178283755E1
1.255556250E0,-2.449178314E1,-5.693866730E0,4.541382599E1,5.191033761E1
1.265611250E0,-2.320060730E1,-3.255802155E0,4.632924652E1,5.191596585E1
1.275666250E0,-2.216533661E1,-8.696327209E-1,4.696712494E1,5.194197949E1
1.285721250E0,-2.111293793E1,1.666522980E0,4.752256012E1,5.202813822E1
1.295776250E0,-2.028855133E1,4.312576294E0,4.778015900E1,5.208807179E1
1.305831250E0,-1.942810059E1,6.761980057E0,4.788129425E1,5.211327859E1
1.315886250E0,-1.871184540E1,9.241609573E0,4.766062164E1,5.202956238E1
1.325941250E0,-1.785690308E1,1.169478989E1,4.756870270E1,5.213845581E1
1.335996250E0,-1.701068115E1,1.411654663E1,4.715840912E1,5.208220150E1
1.346051250E0,-1.593453217E1,1.658210564E1,4.694963837E1,5.227948054E1
1.356107250E0,-1.491072083E1,1.883133316E1,4.621395111E1,5.208337529E1
1.366162250E0,-1.379871368E1,2.114504814E1,4.577175140E1,5.227399723E1
1.376217250E0,-1.297347260E1,2.298096466E1,4.492015839E1,5.209852548E1
1.386272250E0,-1.236431885E1,2.474774170E1,4.427567291E1,5.220787595E1
1.396327250E0,-1.240026093E1,2.635354614E1,4.313626862E1,5.204818475E1
1.406382250E0,-1.250724792E1,2.757675743E1,4.226929474E1,5.199617369E1
1.416437250E0,-1.285323334E1,2.880317307E1,4.152175140E1,5.214292114E1
1.426492250E0,-1.316310883E1,2.977233887E1,4.054517365E1,5.199587197E1
1.436547250E0,-1.340641785E1,3.078365898E1,3.956295013E1,5.189019872E1
1.446602250E0,-1.377637482E1,3.166148949E1,3.883773041E1,5.196737171E1
1.456658250E0,-1.412725830E1,3.231433487E1,3.800514984E1,5.184772974E1
1.466713250E0,-1.479776001E1,3.293602753E1,3.729633331E1,5.191119426E1
1.476768250E0,-1.543652344E1,3.316194916E1,3.660288239E1,5.174719438E1
1.486823250E0,-1.612898254E1,3.327371979E1,3.606166840E1,5.165005744E1
1.496878250E0,-1.692213440E1,3.327744675E1,3.582820892E1,5.174367255E1
1.506933250E0,-1.763887024E1,3.328086472E1,3.571187592E1,5.190456416E1
1.516988250E0,-1.843444061E1,3.324745941E1,3.548809052E1,5.200602587E1
1.527043250E0,-1.910090637E1,3.295159531E1,3.524747467E1,5.189447686E1
1.537098250E0,-1.972307587E1,3.277824020E1,3.498250580E1,5.183809858E1
1.547153250E0,-2.025060272E1,3.260452271E1,3.488652802E1,5.186725025E1
1.557209250E0,-2.062226868E1,3.215994263E1,3.499698639E1,5.181050986E1
1.567264250E0,-2.126281738E1,3.179081535E1,3.496759796E1,5.182177391E1
1.577319250E0,-2.178455353E1,3.129555511E1,3.531652069E1,5.197340836E1
1.587374250E0,-2.250228119E1,3.051455116E1,3.561972809E1,5.202168318E1
1.597429250E0,-2.332521820E1,2.977234268E1,3.597556305E1,5.219865256E1
1.607484250E0,-2.404312897E1,2.867739868E1,3.592182159E1,5.187333142E1
1.617539250E0,-2.505634308E1,2.760694122E1,3.632961273E1,5.205578060E1
1.627594250E0,-2.604967499E1,2.625685501E1,3.665956879E1,5.207621324E1
1.637649250E0,-2.708283997E1,2.467007828E1,3.703665924E1,5.209421379E1
1.647704250E0,-2.798622131E1,2.287458801E1,3.733858490E1,5.196773309E1
1.657760250E0,-2.912242126E1,2.098876190E1,3.768647003E1,5.204722442E1
1.667815250E0,-3.023633575E1,1.890621185E1,3.754698944E1,5.178278925E1
1.677870250E0,-3.130481720E1,1.686569977E1,3.733022308E1,5.155568799E1
1.687925250E0,-3.245800781E1,1.474291229E1,3.744469452E1,5.170087893E1
1.697980250E0,-3.366944885E1,1.259881783E1,3.732187653E1,5.181973045E1
1.708035250E0,-3.468321228E1,1.054074478E1,3.682749176E1,5.167491329E1
1.718090250E0,-3.558538818E1,8.521673203E0,3.645169830E1,5.164944410E1
1.728145250E0,-3.643737793E1,6.410512924E0,3.595240021E1,5.158829583E1
1.738200250E0,-3.714155579E1,4.318260193E0,3.566236115E1,5.167152542E1
1.748255250E0,-3.783164978E1,2.361865997E0,3.505419159E1,5.162953112E1
1.758311250E0,-3.859098053E1,2.817192078E-1,3.427063751E1,5.161220533E1
1.768366250E0,-3.929419708E1,-1.676063538E0,3.308899689E1,5.139771229E1
1.778421250E0,-4.001091766E1,-3.676982880E0,3.205420685E1,5.139908474E1
1.788476250E0,-4.076820374E1,-5.725559235E0,3.060663605E1,5.129907050E1
1.798531250E0,-4.138155365E1,-7.662418365E0,2.940337372E1,5.133910813E1
1.808586250E0,-4.179522705E1,-9.811920166E0,2.806807709E1,5.129260895E1
1.818641250E0,-4.211971283E1,-1.207726288E1,2.659343719E1,5.125564739E1
1.828696250E0,-4.233168030E1,-1.432457733E1,2.495262909E1,5.118396596E1
1.838751250E0,-4.246691132E1,-1.640139771E1,2.322650909E1,5.110689903E1
1.848806250E0,-4.236008453E1,-1.849109268E1,2.127803802E1,5.088272961E1
1.858861250E0,-4.254797363E1,-2.048056412E1,1.947399139E1,5.107856603E1
1.868917250E0,-4.246701813E1,-2.242305374E1,1.730280304E1,5.104535200E1
1.878972250E0,-4.240822601E1,-2.404678726E1,1.509679413E1,5.103546614E1
1.889027250E0,-4.208957672E1,-2.548708725E1,1.283057404E1,5.085024794E1
1.899082250E0,-4.188867950E1,-2.685052109E1,1.053263092E1,5.085811899E1
1.909137250E0,-4.150923920E1,-2.806400299E1,8.433952332E0,5.081079368E1
1.919192250E0,-4.111322784E1,-2.910916519E1,6.412002563E0,5.078144128E1
1.929247250E0,-4.063649750E1,-2.997171402E1,4.502792358E0,5.069421771E1
1.939302250E0,-4.003029633E1,-3.099670029E1,2.570808411E0,5.069348191E1
1.949357250E0,-3.939013672E1,-3.172389603E1,8.226242065E-1,5.058324980E1
1.959412250E0,-3.872970581E1,-3.254420853E1,-1.118721008E0,5.060007073E1
1.969468250E0,-3.804627228E1,-3.316273117E1,-2.896705627E0,5.055369894E1
1.979523250E0,-3.733589172E1,-3.390553665E1,-4.747108459E0,5.065658166E1
1.989578250E0,-3.644238281E1,-3.422401047E1,-6.702072144E0,5.044053854E1
1.999633250E0,-3.569347382E1,-3.472613907E1,-8.697586060E0,5.055271319E1
2.009688250E0,-3.479504395E1,-3.490566635E1,-1.053725433E1,5.039974559E1
2.019743250E0,-3.393463135E1,-3.524451828E1,-1.245564270E1,5.048641707E1
2.029798250E0,-3.311061859E1,-3.526193619E1,-1.433300018E1,5.044950051E1
2.039853250E0,-3.230374146E1,-3.513792801E1,-1.635462189E1,5.045472578E1
2.049908250E0,-3.149560547E1,-3.475674057E1,-1.834289551E1,5.036333979E1
2.059963250E0,-3.060740662E1,-3.436912155E1,-2.030889130E1,5.030408454E1
2.070018250E0,-2.986551666E1,-3.344092941E1,-2.269670105E1,5.025320969E1
2.080074250E0,-2.914675140E1,-3.232577896E1,-2.481924438E1,5.010473026E1
2.090129250E0,-2.841790009E1,-3.111730576E1,-2.693144226E1,5.001166209E1
2.100184250E0,-2.781625366E1,-2.959275436E1,-2.931293488E1,5.008715633E1
2.110239250E0,-2.708241272E1,-2.779271317E1,-3.137151337E1,4.990053942E1
2.120294250E0,-2.655010986E1,-2.562938309E1,-3.348484802E1,4.982979689E1
2.130349250E0,-2.590965271E1,-2.323323441E1,-3.554441833E1,4.974433595E1
2.140404250E0,-2.533737946E1,-2.058459854E1,-3.760467529E1,4.979779211E1
2.150459250E0,-2.480056000E1,-1.772935867E1,-3.911855316E1,4.959495072E1
2.160514250E0,-2.403707123E1,-1.529966736E1,-4.067828369E1,4.966470959E1
2.170569250E0,-2.334032440E1,-1.309485626E1,-4.195238495E1,4.976191924E1
2.180625250E0,-2.246741486E1,-1.120848465E1,-4.284436035E1,4.965938051E1
2.190680250E0,-2.169309235E1,-9.414070129E0,-4.354102325E1,4.954831660E1
2.200735250E0,-2.086467743E1,-7.663730621E0,-4.412642670E1,4.940859302E1
2.210789917E0,-2.029330444E1,-5.918437958E0,-4.497939301E1,4.969901315E1
2.220844917E0,-1.976624298E1,-3.790260315E0,-4.522798157E1,4.950394683E1
2.230899917E0,-1.945899963E1,-1.567302704E0,-4.542275238E1,4.944022187E1
2.240954917E0,-1.910843658E1,8.340148926E-1,-4.550299835E1,4.935940426E1
2.251009917E0,-1.889423370E1,3.476369858E0,-4.545506287E1,4.934815047E1
2.261064917E0,-1.881097412E1,6.135292053E0,-4.519338226E1,4.933494052E1
2.271119917E0,-1.869135284E1,8.427925110E0,-4.513755798E1,4.957616094E1
2.281174917E0,-1.855895233E1,1.031284714E1,-4.459719849E1,4.939331575E1
2.291230917E0,-1.843110657E1,1.223250008E1,-4.421067047E1,4.943605092E1
2.301285917E0,-1.855538177E1,1.372752762E1,-4.356984711E1,4.930597108E1
2.311340917E0,-1.848046875E1,1.526377296E1,-4.297192383E1,4.920464132E1
2.321395917E0,-1.866931915E1,1.661123276E1,-4.255227661E1,4.934746981E1
2.331450917E0,-1.866931915E1,1.661123276E1,-4.255227661E1,4.934746981E1
2.341505917E0,-1.879019928E1,1.798407173E1,-4.198333740E1,4.938723564E1
2.351560917E0,-1.905515289E1,1.937121773E1,-4.115146637E1,4.931314340E1
2.361615917E0,-1.937248230E1,2.074928093E1,-4.040750122E1,4.938210085E1
2.371670917E0,-1.961907196E1,2.196269035E1,-3.979075623E1,4.950325275E1
2.381725917E0,-2.003674316E1,2.315542603E1,-3.896537018E1,4.955749090E1
2.391780917E0,-2.039463806E1,2.428124428E1,-3.797714233E1,4.947507883E1
2.401836917E0,-2.082651520E1,2.530407333E1,-3.743236542E1,4.975160141E1
2.411891917E0,-2.132152557E1,2.636027145E1,-3.653519440E1,4.984267041E1
2.421946917E0,-2.195841980E1,2.730753899E1,-3.547317505E1,4.986200992E1
2.432001917E0,-2.256227875E1,2.828247833E1,-3.410118103E1,4.971765834E1
2.442056917E0,-2.340488434E1,2.945137596E1,-3.267458344E1,4.982770875E1
2.452111917E0,-2.416194153E1,3.041343880E1,-3.107853699E1,4.974587560E1
2.462166917E0,-2.516452789E1,3.148397636E1,-2.917024994E1,4.975336886E1
2.472221917E0,-2.596900177E1,3.231456375E1,-2.778401947E1,4.990562915E1
2.482276917E0,-2.678181458E1,3.305268478E1,-2.630201721E1,5.001541435E1
2.492331917E0,-2.740273285E1,3.361286163E1,-2.473728943E1,4.992662339E1
2.502386917E0,-2.808059692E1,3.409501266E1,-2.363263702E1,5.009482353E1
2.512442917E0,-2.874517059E1,3.437262726E1,-2.239683533E1,5.009371787E1
2.522497917E0,-2.949678802E1,3.484266281E1,-2.123108673E1,5.034710219E1
2.532552917E0,-2.994005585E1,3.496039200E1,-1.983854675E1,5.012189033E1
2.542607917E0,-3.063277435E1,3.519519043E1,-1.883608246E1,5.031765392E1
2.552662917E0,-3.135719299E1,3.534518433E1,-1.750644684E1,5.038880122E1
2.562717917E0,-3.195479584E1,3.546425247E1,-1.613749695E1,5.039088199E1
2.572772917E0,-3.230288696E1,3.550930786E1,-1.488877106E1,5.025995379E1
2.582827917E0,-3.290690613E1,3.559390259E1,-1.382287598E1,5.040696651E1
2.592882917E0,-3.336853790E1,3.548484802E1,-1.265440369E1,5.032661019E1
2.602937917E0,-3.402843475E1,3.555219650E1,-1.149653625E1,5.053774227E1
2.612992917E0,-3.439028168E1,3.545261002E1,-1.055990601E1,5.050832254E1
2.623048917E0,-3.481646729E1,3.529651642E1,-9.581748962E0,5.049594418E1
2.633103917E0,-3.530729675E1,3.516867065E1,-8.943008423E0,5.063020837E1
2.643158917E0,-3.576309967E1,3.487750626E1,-8.195663452E0,5.062221489E1
2.653213917E0,-3.618866730E1,3.476073074E1,-6.875000000E0,5.064774099E1
2.663268917E0,-3.657804871E1,3.454167557E1,-6.174873352E0,5.068737574E1
2.673323917E0,-3.704053497E1,3.423512650E1,-5.173057556E0,5.070311274E1
2.683378917E0,-3.766320801E1,3.385942459E1,-4.550758362E0,5.084965361E1
2.693433917E0,-3.800202179E1,3.325765228E1,-3.752059937E0,5.063894795E1
2.703488917E0,-3.837941742E1,3.285979080E1,-3.136352539E0,5.062195413E1
2.713543917E0,-3.900974274E1,3.225183868E1,-2.665214539E0,5.068574253E1
2.723599917E0,-3.944655609E1,3.179258347E1,-2.249671936E0,5.071351077E1
2.733654917E0,-3.987467194E1,3.119739914E1,-1.885787964E0,5.066382705E1
2.743709917E0,-4.041299438E1,3.062138367E1,-1.417778015E0,5.072365668E1
2.753764917E0,-4.100661469E1,2.985082054E1,-1.023811340E0,5.073127363E1
2.763819917E0,-4.177028656E1,2.915163422E1,-7.705841064E-1,5.094279553E1
2.773874917E0,-4.227462769E1,2.808926010E1,-5.007934570E-2,5.075581924E1
2.783929917E0,-4.288304901E1,2.720963860E1,1.954498291E-1,5.078738550E1
2.793984917E0,-4.357688904E1,2.622822380E1,3.688049316E-1,5.086256973E1
2.804039917E0,-4.412747192E1,2.524272537E1,7.321701050E-1,5.084255143E1
2.814094917E0,-4.477256012E1,2.397533035E1,7.149200439E-1,5.079281166E1
2.824149917E0,-4.554145050E1,2.284336853E1,1.076248169E0,5.096078404E1
