"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.099050000E-2,2.233598328E1,-3.183178329E1,-3.178057861E1,5.022114847E1
2.104450000E-2,2.231126404E1,-3.178975296E1,-3.169686890E1,5.013055350E1
3.109975000E-2,2.230218506E1,-3.170165634E1,-3.183842468E1,5.016042025E1
4.115375000E-2,2.244720459E1,-3.171329117E1,-3.201396179E1,5.034385345E1
5.120875000E-2,2.239759827E1,-3.159410477E1,-3.227288055E1,5.041208866E1
6.126275000E-2,2.238308716E1,-3.134408951E1,-3.254039001E1,5.042153826E1
7.131675000E-2,2.236558533E1,-3.114607620E1,-3.258659363E1,5.032080637E1
8.137175000E-2,2.232084656E1,-3.084072495E1,-3.258950043E1,5.011432973E1
9.142575000E-2,2.222727966E1,-3.055478287E1,-3.301850128E1,5.017836331E1
1.014807500E-1,2.199943542E1,-3.059596634E1,-3.372245789E1,5.056967946E1
1.115347500E-1,2.173031616E1,-3.036587143E1,-3.373673248E1,5.032355221E1
1.215887500E-1,2.142860413E1,-3.003427505E1,-3.413103485E1,5.026102161E1
1.316437500E-1,2.096722412E1,-2.989334488E1,-3.425841522E1,5.006870848E1
1.416977500E-1,2.083476257E1,-2.967325211E1,-3.451540375E1,5.005898838E1
1.517527500E-1,2.070237732E1,-2.929782486E1,-3.489521027E1,5.004624529E1
1.618067500E-1,2.090084839E1,-2.890040970E1,-3.520109558E1,5.011183767E1
1.718617500E-1,2.082496643E1,-2.842466354E1,-3.532399750E1,4.989414318E1
1.819157500E-1,2.054687500E1,-2.812385178E1,-3.593624878E1,5.004537029E1
1.919697500E-1,2.009426880E1,-2.791917801E1,-3.643835449E1,5.011001714E1
2.020247500E-1,1.952830505E1,-2.780088806E1,-3.696785736E1,5.020823193E1
2.120787500E-1,1.882881165E1,-2.761856461E1,-3.742646790E1,5.018017296E1
2.221337500E-1,1.806251526E1,-2.759197998E1,-3.792573547E1,5.025866321E1
2.321877500E-1,1.727867126E1,-2.736454391E1,-3.843930054E1,5.024888626E1
2.422427500E-1,1.638893127E1,-2.714385605E1,-3.899584198E1,5.025994112E1
2.522967500E-1,1.593670654E1,-2.671606827E1,-3.948677063E1,5.026859829E1
2.623507500E-1,1.560617065E1,-2.626149750E1,-4.003228760E1,5.035675589E1
2.724057500E-1,1.508882141E1,-2.580450058E1,-4.033377838E1,5.020317181E1
2.824597500E-1,1.459112549E1,-2.541377258E1,-4.089593506E1,5.031141306E1
2.925147500E-1,1.402561951E1,-2.494805145E1,-4.121060944E1,5.017407303E1
3.025687500E-1,1.341055298E1,-2.488668442E1,-4.154577637E1,5.025178133E1
3.126227500E-1,1.261192322E1,-2.488822174E1,-4.175112915E1,5.021594342E1
3.226777500E-1,1.177415466E1,-2.520630646E1,-4.197858429E1,5.036060109E1
3.327317500E-1,1.100704956E1,-2.586583328E1,-4.173908997E1,5.032244134E1
3.427867500E-1,1.001783752E1,-2.625942612E1,-4.153680420E1,5.015197535E1
3.528407500E-1,9.043350220E0,-2.662622452E1,-4.154567719E1,5.016753241E1
3.628957500E-1,8.177017212E0,-2.687042999E1,-4.177983856E1,5.034320737E1
3.729497500E-1,7.627105713E0,-2.665461349E1,-4.198139954E1,5.030983074E1
3.830037500E-1,7.525596619E0,-2.629336929E1,-4.231044006E1,5.038004775E1
3.930587500E-1,7.771484375E0,-2.567028046E1,-4.239431763E1,5.016609846E1
4.031127500E-1,7.885345459E0,-2.505702209E1,-4.277798462E1,5.019949200E1
4.131677500E-1,8.148162842E0,-2.440952682E1,-4.324494171E1,5.032238608E1
4.232217500E-1,8.327484131E0,-2.414269638E1,-4.340837860E1,5.036371822E1
4.332767500E-1,7.985946655E0,-2.403570938E1,-4.324699402E1,5.011779286E1
4.433307500E-1,7.383926392E0,-2.418090820E1,-4.350000763E1,5.031390816E1
4.533847500E-1,6.423789978E0,-2.443165588E1,-4.358129120E1,5.037360251E1
4.634397500E-1,5.278945923E0,-2.485702896E1,-4.336190796E1,5.025927000E1
4.734937500E-1,4.131912231E0,-2.514144897E1,-4.325576019E1,5.020185201E1
4.835487500E-1,2.971092224E0,-2.539651108E1,-4.323655701E1,5.023156404E1
4.936027500E-1,2.347991943E0,-2.551567078E1,-4.327299500E1,5.029030341E1
5.036577500E-1,1.967918396E0,-2.550545120E1,-4.337833405E1,5.035951358E1
5.137117500E-1,2.088699341E0,-2.531236267E1,-4.369213104E1,5.053791333E1
5.237657500E-1,2.495910645E0,-2.494368362E1,-4.369090271E1,5.037173714E1
5.338207500E-1,2.862297058E0,-2.448403931E1,-4.406340027E1,5.049004029E1
5.438747500E-1,3.193710327E0,-2.413042450E1,-4.428128052E1,5.053027782E1
5.539297500E-1,2.831123352E0,-2.368498993E1,-4.428261566E1,5.029854926E1
5.639837500E-1,2.400131226E0,-2.350563049E1,-4.430284882E1,5.020973718E1
5.740387500E-1,2.021858215E0,-2.340212250E1,-4.424651337E1,5.009492183E1
5.840927500E-1,1.852859497E0,-2.375187302E1,-4.433628845E1,5.033180936E1
5.941467500E-1,1.732841492E0,-2.383359146E1,-4.420236969E1,5.024830652E1
6.042017500E-1,2.001907349E0,-2.389651489E1,-4.425675964E1,5.033598942E1
6.142557500E-1,2.147155762E0,-2.386126328E1,-4.432459259E1,5.038491512E1
6.243107500E-1,2.266235352E0,-2.393264389E1,-4.424118805E1,5.035067017E1
6.343647500E-1,2.148483276E0,-2.407847977E1,-4.433643341E1,5.049859895E1
6.444197500E-1,1.784980774E0,-2.427540970E1,-4.391773224E1,5.021203917E1
6.544737500E-1,1.316459656E0,-2.476259613E1,-4.366725922E1,5.021701664E1
6.645277500E-1,4.683685303E-1,-2.527698135E1,-4.328453827E1,5.012680330E1
6.745827500E-1,-2.350921631E-1,-2.636729813E1,-4.297116852E1,5.041637633E1
6.846367500E-1,-1.212532043E0,-2.744065094E1,-4.234819794E1,5.047602824E1
6.946917500E-1,-2.124839783E0,-2.853780746E1,-4.138105774E1,5.031215895E1
7.047457500E-1,-3.032218933E0,-2.983346939E1,-4.010438538E1,5.007586219E1
7.148007500E-1,-3.832893372E0,-3.139774704E1,-3.917437744E1,5.035018807E1
7.248547500E-1,-4.752944946E0,-3.299374008E1,-3.767587280E1,5.030555398E1
7.349087500E-1,-5.783843994E0,-3.441344070E1,-3.602479553E1,5.015499622E1
7.449637500E-1,-6.536949158E0,-3.582073593E1,-3.441944885E1,5.010544168E1
7.550177500E-1,-7.145812988E0,-3.703796768E1,-3.303780365E1,5.014349572E1
7.650727500E-1,-7.563117981E0,-3.841024399E1,-3.141164398E1,5.019202102E1
7.751267500E-1,-7.905403137E0,-3.968847275E1,-2.976412964E1,5.023518370E1
7.851807500E-1,-7.913200378E0,-4.083155441E1,-2.794501495E1,5.010746887E1
7.952357500E-1,-8.125366211E0,-4.189312363E1,-2.599820709E1,4.996961232E1
8.052897500E-1,-8.247962952E0,-4.303425217E1,-2.412503815E1,5.001992821E1
