"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.110166667E-3,1.443975830E1,-3.652610397E1,-3.316221619E1,5.140423595E1
1.616516667E-2,1.439208984E1,-3.651801682E1,-3.332810211E1,5.149233140E1
2.621916667E-2,1.431184387E1,-3.638119888E1,-3.321313477E1,5.129846809E1
3.627416667E-2,1.410931396E1,-3.613559341E1,-3.332473755E1,5.114090324E1
4.632816667E-2,1.393980408E1,-3.599117661E1,-3.356293488E1,5.114834825E1
5.638316667E-2,1.375845337E1,-3.591292953E1,-3.374313354E1,5.116280493E1
6.643716667E-2,1.365841675E1,-3.570050430E1,-3.409494781E1,5.122054102E1
7.649116667E-2,1.345555115E1,-3.552802658E1,-3.473674011E1,5.147750619E1
8.654616667E-2,1.324911499E1,-3.517731857E1,-3.516313934E1,5.147260590E1
9.660016667E-2,1.255484009E1,-3.482699966E1,-3.566557312E1,5.140600180E1
1.066551667E-1,1.190863037E1,-3.444134140E1,-3.626374817E1,5.141090260E1
1.167091667E-1,1.118769836E1,-3.414734268E1,-3.688571167E1,5.149525544E1
1.267641667E-1,1.032513428E1,-3.379082108E1,-3.736965179E1,5.142877465E1
1.368185833E-1,9.545974731E0,-3.344322586E1,-3.781592560E1,5.137722470E1
1.468725833E-1,8.797698975E0,-3.314597702E1,-3.812688446E1,5.128074316E1
1.569275833E-1,8.134460449E0,-3.298613358E1,-3.859703064E1,5.141969690E1
1.669815833E-1,7.555778503E0,-3.285070419E1,-3.867203522E1,5.130092458E1
1.770365833E-1,6.942489624E0,-3.242190170E1,-3.914948273E1,5.130360484E1
1.870905833E-1,6.266639709E0,-3.212092972E1,-3.962451172E1,5.139189458E1
1.971455833E-1,5.525840759E0,-3.166910172E1,-4.009218597E1,5.138920408E1
2.071995833E-1,4.714942932E0,-3.131409836E1,-4.048443604E1,5.139837550E1
2.172545833E-1,4.009391785E0,-3.101722336E1,-4.100226593E1,5.156868409E1
2.273085833E-1,3.359336853E0,-3.062068558E1,-4.121987152E1,5.145861772E1
2.373635833E-1,3.359336853E0,-3.062068558E1,-4.121987152E1,5.145861772E1
2.474175833E-1,3.025703430E0,-3.019906998E1,-4.161884308E1,5.150987098E1
2.574715833E-1,2.608032227E0,-2.957612228E1,-4.191416931E1,5.136483652E1
2.675265833E-1,2.597358704E0,-2.925281143E1,-4.225428772E1,5.145773100E1
2.775805833E-1,2.490821838E0,-2.876350784E1,-4.260724640E1,5.146766968E1
2.876355833E-1,2.549606323E0,-2.841689682E1,-4.282115936E1,5.145553621E1
2.976895833E-1,2.435958862E0,-2.800197983E1,-4.291599274E1,5.130133724E1
3.077445833E-1,2.254127502E0,-2.761866379E1,-4.329980469E1,5.140763335E1
3.177985833E-1,2.112106323E0,-2.736745453E1,-4.354862213E1,5.147738387E1
3.278535833E-1,2.269309998E0,-2.729498672E1,-4.373042297E1,5.159957327E1
3.379075833E-1,2.589653015E0,-2.726866150E1,-4.379714203E1,5.165729235E1
3.479615833E-1,2.681320190E0,-2.730114365E1,-4.351136780E1,5.143715632E1
3.580165833E-1,3.212471008E0,-2.767833328E1,-4.327317047E1,5.146821724E1
3.680705833E-1,3.386390686E0,-2.798046112E1,-4.302841949E1,5.143752259E1
3.781255833E-1,4.041389465E0,-2.823501205E1,-4.303021240E1,5.162507059E1
3.881795833E-1,4.556671143E0,-2.826586151E1,-4.278443146E1,5.148038222E1
3.982345833E-1,4.902442932E0,-2.833317184E1,-4.262380981E1,5.141587047E1
4.082885833E-1,5.238800049E0,-2.823809433E1,-4.274633026E1,5.149838588E1
4.183435833E-1,5.580162048E0,-2.804325485E1,-4.284252930E1,5.150771464E1
4.283975833E-1,5.820747375E0,-2.790839767E1,-4.281402588E1,5.143734609E1
4.384515833E-1,5.982612610E0,-2.761528015E1,-4.277935791E1,5.126859482E1
4.485065833E-1,6.180740356E0,-2.745072937E1,-4.292491913E1,5.132536192E1
4.585605833E-1,6.451354980E0,-2.708139420E1,-4.321365356E1,5.140468604E1
4.686155833E-1,6.891159058E0,-2.658629227E1,-4.318023682E1,5.117471897E1
4.786695833E-1,7.120101929E0,-2.603987503E1,-4.360923767E1,5.128875660E1
4.887245833E-1,7.191085815E0,-2.576371765E1,-4.382024384E1,5.133901667E1
4.987785833E-1,7.326599121E0,-2.548136139E1,-4.420334625E1,5.154526800E1
5.088335833E-1,7.245666504E0,-2.507035446E1,-4.420673370E1,5.133476074E1
5.188875833E-1,7.551422119E0,-2.505625153E1,-4.412697601E1,5.130331109E1
